   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
     521  5.25119589E-01  2.75750959E-01  7.60390067E-02  6.66664847E-01  2.17337608E-04  8.93243680E-01 -1.28139689E+00 -1.28117581E+00  0.00000000E+00
     531  5.25118197E-01  2.75749488E-01  7.60381854E-02  6.66664890E-01  2.12147498E-04  8.77227060E-01 -1.28139435E+00 -1.28117333E+00  0.00000000E+00
     541  5.25108999E-01  2.75739826E-01  7.60328549E-02  6.66664900E-01  2.10944667E-04  8.71628850E-01 -1.28138700E+00 -1.28116599E+00  0.00000000E+00
     551  5.25107601E-01  2.75738354E-01  7.60320386E-02  6.66664918E-01  2.08767020E-04  8.65740834E-01 -1.28138448E+00 -1.28116392E+00  0.00000000E+00
     561  5.25103337E-01  2.75733871E-01  7.60295612E-02  6.66664941E-01  2.06081004E-04  8.48872558E-01 -1.28138252E+00 -1.28116228E+00  0.00000000E+00
     571  5.25106269E-01  2.75736943E-01  7.60312477E-02  6.66664975E-01  2.01968733E-04  8.48073418E-01 -1.28139171E+00 -1.28117165E+00  0.00000000E+00
     581  5.25093941E-01  2.75724009E-01  7.60241291E-02  6.66664914E-01  2.09310286E-04  8.67847616E-01 -1.28140322E+00 -1.28118275E+00  0.00000000E+00
     591  5.25056718E-01  2.75684955E-01  7.60026340E-02  6.66664740E-01  2.30110631E-04  8.68944782E-01 -1.28138886E+00 -1.28116837E+00  0.00000000E+00
     601  5.25016738E-01  2.75643015E-01  7.59795566E-02  6.66664539E-01  2.54039581E-04  8.60652682E-01 -1.28140479E+00 -1.28118453E+00  0.00000000E+00
     611  5.24989953E-01  2.75614915E-01  7.59640930E-02  6.66664421E-01  2.68142717E-04  8.61362449E-01 -1.28141425E+00 -1.28119428E+00  0.00000000E+00
     621  5.24961839E-01  2.75585423E-01  7.59478648E-02  6.66664298E-01  2.82846351E-04  9.00198904E-01 -1.28138372E+00 -1.28116389E+00  0.00000000E+00
     631  5.24950472E-01  2.75573479E-01  7.59412717E-02  6.66664342E-01  2.77505595E-04  8.84017275E-01 -1.28137541E+00 -1.28115548E+00  0.00000000E+00
     641  5.24969922E-01  2.75593899E-01  7.59525260E-02  6.66664345E-01  2.77182117E-04  8.80643639E-01 -1.28139080E+00 -1.28117096E+00  0.00000000E+00
     651  5.24972463E-01  2.75596559E-01  7.59539837E-02  6.66664383E-01  2.72673357E-04  8.82861139E-01 -1.28139587E+00 -1.28117637E+00  0.00000000E+00
     661  5.24960052E-01  2.75583523E-01  7.59467927E-02  6.66664409E-01  2.69596085E-04  8.63345031E-01 -1.28139733E+00 -1.28117793E+00  0.00000000E+00
     671  5.24949738E-01  2.75572686E-01  7.59408107E-02  6.66664448E-01  2.64907175E-04  8.57649138E-01 -1.28139784E+00 -1.28117803E+00  0.00000000E+00
     681  5.24938545E-01  2.75560941E-01  7.59343442E-02  6.66664419E-01  2.68325594E-04  8.45804226E-01 -1.28138373E+00 -1.28116381E+00  0.00000000E+00
     691  5.24915559E-01  2.75536821E-01  7.59210652E-02  6.66664360E-01  2.75399289E-04  8.52935089E-01 -1.28137351E+00 -1.28115360E+00  0.00000000E+00
     701  5.24897218E-01  2.75517572E-01  7.59104644E-02  6.66664331E-01  2.78730775E-04  8.41982747E-01 -1.28136543E+00 -1.28114525E+00  0.00000000E+00
     711  5.24898087E-01  2.75518480E-01  7.59109586E-02  6.66664357E-01  2.75695422E-04  8.47522013E-01 -1.28137864E+00 -1.28115844E+00  0.00000000E+00
     721  5.24892290E-01  2.75512390E-01  7.59076003E-02  6.66664370E-01  2.74134123E-04  8.44157073E-01 -1.28137038E+00 -1.28115017E+00  0.00000000E+00
