   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
    1861  7.15268217E-02  5.11759137E-03  2.62215471E-05  6.66261857E-01  9.37629777E-26  0.00000000E+00 -6.09102309E+00 -5.85066801E+00  0.00000000E+00
    1871  7.15106769E-02  5.11529021E-03  2.61981521E-05  6.66259549E-01  9.42709342E-26  0.00000000E+00 -6.09102501E+00 -5.85065956E+00  0.00000000E+00
    1881  7.14945304E-02  5.11298946E-03  2.61747747E-05  6.66257203E-01  9.47872355E-26  0.00000000E+00 -6.09102693E+00 -5.85065109E+00  0.00000000E+00
    1891  7.14783817E-02  5.11068906E-03  2.61514139E-05  6.66254820E-01  9.53119012E-26  0.00000000E+00 -6.09102884E+00 -5.85064261E+00  0.00000000E+00
    1901  7.14622302E-02  5.10838891E-03  2.61280690E-05  6.66252398E-01  9.58449538E-26  0.00000000E+00 -6.09103075E+00 -5.85063411E+00  0.00000000E+00
    1911  7.14460754E-02  5.10608895E-03  2.61047393E-05  6.66249939E-01  9.63864191E-26  0.00000000E+00 -6.09103267E+00 -5.85062559E+00  0.00000000E+00
    1921  7.14299167E-02  5.10378909E-03  2.60814238E-05  6.66247441E-01  9.69363254E-26  0.00000000E+00 -6.09103457E+00 -5.85061706E+00  0.00000000E+00
    1931  7.14137536E-02  5.10148925E-03  2.60581219E-05  6.66244905E-01  9.74947047E-26  0.00000000E+00 -6.09103648E+00 -5.85060852E+00  0.00000000E+00
    1941  7.13975855E-02  5.09918937E-03  2.60348327E-05  6.66242330E-01  9.80615918E-26  0.00000000E+00 -6.09103839E+00 -5.85059995E+00  0.00000000E+00
    1951  7.13814119E-02  5.09688936E-03  2.60115555E-05  6.66239716E-01  9.86370252E-26  0.00000000E+00 -6.09104029E+00 -5.85059138E+00  0.00000000E+00
    1961  7.13652322E-02  5.09458914E-03  2.59882894E-05  6.66237063E-01  9.92210467E-26  0.00000000E+00 -6.09104219E+00 -5.85058278E+00  0.00000000E+00
    1971  7.13490459E-02  5.09228863E-03  2.59650336E-05  6.66234370E-01  9.98137020E-26  0.00000000E+00 -6.09104410E+00 -5.85057417E+00  0.00000000E+00
    1981  7.13328523E-02  5.08998775E-03  2.59417874E-05  6.66231638E-01  1.00415040E-25  0.00000000E+00 -6.09104600E+00 -5.85056554E+00  0.00000000E+00
    1991  7.13166509E-02  5.08768642E-03  2.59185499E-05  6.66228866E-01  1.01025115E-25  0.00000000E+00 -6.09104790E+00 -5.85055690E+00  0.00000000E+00
    2001  7.13004411E-02  5.08538456E-03  2.58953203E-05  6.66226054E-01  1.01643984E-25  0.00000000E+00 -6.09104979E+00 -5.85054824E+00  0.00000000E+00
    2011  7.12842223E-02  5.08308208E-03  2.58720978E-05  6.66223201E-01  1.02271708E-25  0.00000000E+00 -6.09105169E+00 -5.85053956E+00  0.00000000E+00
    2021  7.12679938E-02  5.08077890E-03  2.58488816E-05  6.66220307E-01  1.02908355E-25  0.00000000E+00 -6.09105359E+00 -5.85053086E+00  0.00000000E+00
    2031  7.12517552E-02  5.07847493E-03  2.58256708E-05  6.66217372E-01  1.03553995E-25  0.00000000E+00 -6.09105548E+00 -5.85052215E+00  0.00000000E+00
    2041  7.12355056E-02  5.07617009E-03  2.58024645E-05  6.66214396E-01  1.04208704E-25  0.00000000E+00 -6.09105738E+00 -5.85051343E+00  0.00000000E+00
    2051  7.12192446E-02  5.07386429E-03  2.57792619E-05  6.66211377E-01  1.04872564E-25  0.00000000E+00 -6.09105927E+00 -5.85050468E+00  0.00000000E+00
    2061  7.12029714E-02  5.07155743E-03  2.57560620E-05  6.66208316E-01  1.05545662E-25  0.00000000E+00 -6.09106117E+00 -5.85049592E+00  0.00000000E+00
    2071  7.11866854E-02  5.06924942E-03  2.57328641E-05  6.66205212E-01  1.06228090E-25  0.00000000E+00 -6.09106306E+00 -5.85048714E+00  0.00000000E+00
    2081  7.11703858E-02  5.06694017E-03  2.57096671E-05  6.66202065E-01  1.06919948E-25  0.00000000E+00 -6.09106496E+00 -5.85047835E+00  0.00000000E+00
    2091  7.11540720E-02  5.06462958E-03  2.56864701E-05  6.66198873E-01  1.07621340E-25  0.00000000E+00 -6.09106685E+00 -5.85046954E+00  0.00000000E+00
    2101  7.11377433E-02  5.06231755E-03  2.56632722E-05  6.66195638E-01  1.08332377E-25  0.00000000E+00 -6.09106874E+00 -5.85046071E+00  0.00000000E+00
    2111  7.11213988E-02  5.06000397E-03  2.56400723E-05  6.66192357E-01  1.09053179E-25  0.00000000E+00 -6.09107064E+00 -5.85045186E+00  0.00000000E+00
    2121  7.11050379E-02  5.05768874E-03  2.56168695E-05  6.66189030E-01  1.09783872E-25  0.00000000E+00 -6.09107253E+00 -5.85044300E+00  0.00000000E+00
    2131  7.10886597E-02  5.05537176E-03  2.55936627E-05  6.66185658E-01  1.10524590E-25  0.00000000E+00 -6.09107442E+00 -5.85043412E+00  0.00000000E+00
