#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
     89 -0.050000 -0.250000 -0.450000        1    6.46817818E-09  8.09733585E-13  1.35119945E-08  1.49803647E-08
     90  0.000000 -0.250000 -0.450000        1    4.47617695E-09  5.02598790E-09  1.01065275E-09  6.80574269E-09
     91  0.050000 -0.250000 -0.450000        1    4.21281843E-09  3.97328678E-09  2.56126799E-09  6.33205659E-09
     92  0.100000 -0.250000 -0.450000        1    5.73224122E-09  1.93670361E-09  1.21254915E-09  6.17087399E-09
     93  0.150000 -0.250000 -0.450000        1    4.00838759E-09  5.43169419E-10  4.41437229E-09  5.98739399E-09
     94  0.200000 -0.250000 -0.450000        1    2.72551437E-09  8.29550595E-10  1.79816171E-09  3.36897140E-09
     95  0.250000 -0.250000 -0.450000        1    1.16127385E-09  5.09318312E-09  3.25315114E-09  6.15402824E-09
     96  0.300000 -0.250000 -0.450000        1    8.56689106E-10  4.28797919E-09  1.37356566E-09  4.58337915E-09
     97  0.350000 -0.250000 -0.450000        1    9.91089796E-09  9.25915738E-11  3.67176535E-09  1.05695947E-08
     98  0.400000 -0.250000 -0.450000        1    3.34039405E-10  3.46405143E-10  1.06024659E-09  1.16434604E-09
     99  0.450000 -0.250000 -0.450000        1    4.95023734E-09  2.81158926E-09  2.66915954E-09  6.28763044E-09
    100  0.500000 -0.250000 -0.450000        1    2.31488257E-09  3.02065453E-09  1.48771135E-09  4.08611309E-09
    101 -0.450000 -0.200000 -0.450000        1    2.64144752E-09  1.74536465E-09  1.58063728E-09  3.53863773E-09
    102 -0.400000 -0.200000 -0.450000        1    5.24802961E-09  5.85627841E-09  2.30250049E-09  8.19385868E-09
    103 -0.350000 -0.200000 -0.450000        1    2.64158081E-10  2.48804379E-09  6.95953242E-10  2.59701603E-09
    104 -0.300000 -0.200000 -0.450000        1    1.86130840E-09  7.25273885E-09  1.89635568E-09  7.72417339E-09
    105 -0.250000 -0.200000 -0.450000        1    2.50677105E-10  6.55442894E-11  4.28356357E-10  5.00623844E-10
    106 -0.200000 -0.200000 -0.450000        1    1.34157495E-09  6.67738625E-10  3.61185862E-10  1.54147768E-09
    107 -0.150000 -0.200000 -0.450000        1    7.18714880E-12  1.67856874E-09  7.72574130E-10  1.84784076E-09
    108 -0.100000 -0.200000 -0.450000        1    1.58290235E-09  2.52252182E-09  9.61859546E-09  1.00690652E-08
    109 -0.050000 -0.200000 -0.450000        1    1.49957553E-10  1.32383370E-09  5.02108791E-09  5.19483847E-09
    110  0.000000 -0.200000 -0.450000        1    1.36432519E-09  3.97542723E-09  7.11948732E-09  8.26755735E-09
    111  0.050000 -0.200000 -0.450000        1    2.09222294E-09  1.78123991E-09  4.42267190E-09  5.20674939E-09
    112  0.100000 -0.200000 -0.450000        1    3.80273979E-09  5.54404800E-09  4.16500399E-09  7.90851164E-09
    113  0.150000 -0.200000 -0.450000        1    3.59631964E-09  2.32756716E-09  2.40838130E-09  4.91440580E-09
    114  0.200000 -0.200000 -0.450000        1    1.88624608E-09  2.85152186E-09  4.90514678E-09  5.97909409E-09
    115  0.250000 -0.200000 -0.450000        1    6.54053188E-10  2.27303325E-09  1.24564494E-11  2.36529510E-09
    116  0.300000 -0.200000 -0.450000        1    8.34226034E-09  1.57308167E-10  1.74325707E-09  8.52390748E-09
    117  0.350000 -0.200000 -0.450000        1    9.48196497E-10  1.26567132E-09  7.50797434E-09  7.67272306E-09
