   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
     561  2.78955866E+00  7.78163824E+00  6.05539156E+01  6.66666546E-01  4.53683318E-26  0.00000000E+00 -6.23872483E+00 -5.90258463E+00  0.00000000E+00
     571  2.78955917E+00  7.78164105E+00  6.05539585E+01  6.66666550E-01  4.37949742E-26  0.00000000E+00 -6.23872534E+00 -5.90258504E+00  0.00000000E+00
     581  2.78955965E+00  7.78164371E+00  6.05539992E+01  6.66666554E-01  4.23020569E-26  0.00000000E+00 -6.23872582E+00 -5.90258543E+00  0.00000000E+00
     591  2.78956010E+00  7.78164623E+00  6.05540378E+01  6.66666558E-01  4.08841892E-26  0.00000000E+00 -6.23872628E+00 -5.90258579E+00  0.00000000E+00
     601  2.78956054E+00  7.78164863E+00  6.05540744E+01  6.66666562E-01  3.95364240E-26  0.00000000E+00 -6.23872671E+00 -5.90258614E+00  0.00000000E+00
     611  2.78956095E+00  7.78165091E+00  6.05541093E+01  6.66666565E-01  3.82542158E-26  0.00000000E+00 -6.23872712E+00 -5.90258647E+00  0.00000000E+00
     621  2.78956134E+00  7.78165307E+00  6.05541425E+01  6.66666568E-01  3.70333806E-26  0.00000000E+00 -6.23872751E+00 -5.90258679E+00  0.00000000E+00
     631  2.78956172E+00  7.78165514E+00  6.05541740E+01  6.66666571E-01  3.58700637E-26  0.00000000E+00 -6.23872789E+00 -5.90258709E+00  0.00000000E+00
     641  2.78956207E+00  7.78165711E+00  6.05542041E+01  6.66666574E-01  3.47607083E-26  0.00000000E+00 -6.23872825E+00 -5.90258738E+00  0.00000000E+00
     651  2.78956241E+00  7.78165898E+00  6.05542328E+01  6.66666577E-01  3.37020276E-26  0.00000000E+00 -6.23872859E+00 -5.90258765E+00  0.00000000E+00
     661  2.78956273E+00  7.78166077E+00  6.05542601E+01  6.66666580E-01  3.26909822E-26  0.00000000E+00 -6.23872891E+00 -5.90258791E+00  0.00000000E+00
     671  2.78956304E+00  7.78166248E+00  6.05542862E+01  6.66666582E-01  3.17247560E-26  0.00000000E+00 -6.23872922E+00 -5.90258816E+00  0.00000000E+00
     681  2.78956334E+00  7.78166411E+00  6.05543111E+01  6.66666585E-01  3.08007397E-26  0.00000000E+00 -6.23872952E+00 -5.90258840E+00  0.00000000E+00
     691  2.78956362E+00  7.78166567E+00  6.05543350E+01  6.66666587E-01  2.99165097E-26  0.00000000E+00 -6.23872980E+00 -5.90258863E+00  0.00000000E+00
     701  2.78956389E+00  7.78166716E+00  6.05543578E+01  6.66666589E-01  2.90698144E-26  0.00000000E+00 -6.23873008E+00 -5.90258885E+00  0.00000000E+00
     711  2.78956415E+00  7.78166858E+00  6.05543796E+01  6.66666592E-01  2.82585594E-26  0.00000000E+00 -6.23873034E+00 -5.90258906E+00  0.00000000E+00
     721  2.78956439E+00  7.78166995E+00  6.05544005E+01  6.66666594E-01  2.74807936E-26  0.00000000E+00 -6.23873059E+00 -5.90258926E+00  0.00000000E+00
     731  2.78956463E+00  7.78167126E+00  6.05544205E+01  6.66666596E-01  2.67346997E-26  0.00000000E+00 -6.23873083E+00 -5.90258945E+00  0.00000000E+00
     741  2.78956486E+00  7.78167252E+00  6.05544397E+01  6.66666598E-01  2.60185808E-26  0.00000000E+00 -6.23873106E+00 -5.90258964E+00  0.00000000E+00
     751  2.78956508E+00  7.78167372E+00  6.05544581E+01  6.66666599E-01  2.53308522E-26  0.00000000E+00 -6.23873128E+00 -5.90258981E+00  0.00000000E+00
     761  2.78956528E+00  7.78167487E+00  6.05544758E+01  6.66666601E-01  2.46700331E-26  0.00000000E+00 -6.23873149E+00 -5.90258999E+00  0.00000000E+00
     771  2.78956549E+00  7.78167598E+00  6.05544927E+01  6.66666603E-01  2.40347379E-26  0.00000000E+00 -6.23873169E+00 -5.90259015E+00  0.00000000E+00
     781  2.78956568E+00  7.78167705E+00  6.05545090E+01  6.66666604E-01  2.34236692E-26  0.00000000E+00 -6.23873189E+00 -5.90259031E+00  0.00000000E+00
     791  2.78956586E+00  7.78167807E+00  6.05545246E+01  6.66666606E-01  2.28356106E-26  0.00000000E+00 -6.23873208E+00 -5.90259046E+00  0.00000000E+00
     801  2.78956604E+00  7.78167905E+00  6.05545397E+01  6.66666607E-01  2.22694208E-26  0.00000000E+00 -6.23873226E+00 -5.90259061E+00  0.00000000E+00
     811  2.78956621E+00  7.78168000E+00  6.05545541E+01  6.66666609E-01  2.17240288E-26  0.00000000E+00 -6.23873244E+00 -5.90259075E+00  0.00000000E+00
     821  2.78956638E+00  7.78168091E+00  6.05545680E+01  6.66666610E-01  2.11984287E-26  0.00000000E+00 -6.23873261E+00 -5.90259088E+00  0.00000000E+00
     831  2.78956654E+00  7.78168179E+00  6.05545814E+01  6.66666612E-01  2.06916747E-26  0.00000000E+00 -6.23873277E+00 -5.90259102E+00  0.00000000E+00
     841  2.78956669E+00  7.78168263E+00  6.05545943E+01  6.66666613E-01  2.02028756E-26  0.00000000E+00 -6.23873293E+00 -5.90259114E+00  0.00000000E+00
     851  2.78956683E+00  7.78168344E+00  6.05546067E+01  6.66666614E-01  1.97311939E-26  0.00000000E+00 -6.23873308E+00 -5.90259126E+00  0.00000000E+00
     861  2.78956698E+00  7.78168423E+00  6.05546187E+01  6.66666615E-01  1.92758395E-26  0.00000000E+00 -6.23873322E+00 -5.90259138E+00  0.00000000E+00
     871  2.78956711E+00  7.78168498E+00  6.05546302E+01  6.66666617E-01  1.88360670E-26  0.00000000E+00 -6.23873337E+00 -5.90259150E+00  0.00000000E+00
     881  2.78956724E+00  7.78168571E+00  6.05546414E+01  6.66666618E-01  1.84111740E-26  0.00000000E+00 -6.23873350E+00 -5.90259161E+00  0.00000000E+00
     891  2.78956737E+00  7.78168641E+00  6.05546521E+01  6.66666619E-01  1.80004968E-26  0.00000000E+00 -6.23873364E+00 -5.90259171E+00  0.00000000E+00
     901  2.78956749E+00  7.78168709E+00  6.05546624E+01  6.66666620E-01  1.76034077E-26  0.00000000E+00 -6.23873376E+00 -5.90259182E+00  0.00000000E+00
     911  2.78956761E+00  7.78168774E+00  6.05546724E+01  6.66666621E-01  1.72193142E-26  0.00000000E+00 -6.23873389E+00 -5.90259191E+00  0.00000000E+00
     921  2.78956773E+00  7.78168837E+00  6.05546821E+01  6.66666622E-01  1.68476548E-26  0.00000000E+00 -6.23873401E+00 -5.90259201E+00  0.00000000E+00
     931  2.78956784E+00  7.78168898E+00  6.05546914E+01  6.66666623E-01  1.64879001E-26  0.00000000E+00 -6.23873412E+00 -5.90259210E+00  0.00000000E+00
     941  2.78956794E+00  7.78168957E+00  6.05547004E+01  6.66666624E-01  1.61395453E-26  0.00000000E+00 -6.23873423E+00 -5.90259219E+00  0.00000000E+00
     951  2.78956805E+00  7.78169014E+00  6.05547091E+01  6.66666625E-01  1.58021148E-26  0.00000000E+00 -6.23873434E+00 -5.90259228E+00  0.00000000E+00
     961  2.78956815E+00  7.78169069E+00  6.05547175E+01  6.66666626E-01  1.54751560E-26  0.00000000E+00 -6.23873445E+00 -5.90259237E+00  0.00000000E+00
     971  2.78956824E+00  7.78169122E+00  6.05547256E+01  6.66666626E-01  1.51582401E-26  0.00000000E+00 -6.23873455E+00 -5.90259245E+00  0.00000000E+00
     981  2.78956834E+00  7.78169174E+00  6.05547335E+01  6.66666627E-01  1.48509612E-26  0.00000000E+00 -6.23873465E+00 -5.90259253E+00  0.00000000E+00
     991  2.78956843E+00  7.78169224E+00  6.05547411E+01  6.66666628E-01  1.45529310E-26  0.00000000E+00 -6.23873474E+00 -5.90259261E+00  0.00000000E+00
    1001  2.78956851E+00  7.78169272E+00  6.05547485E+01  6.66666629E-01  1.42637827E-26  0.00000000E+00 -6.23873484E+00 -5.90259268E+00  0.00000000E+00
    1011  2.78956860E+00  7.78169319E+00  6.05547556E+01  6.66666630E-01  1.39831666E-26  0.00000000E+00 -6.23873493E+00 -5.90259275E+00  0.00000000E+00
    1021  2.78956868E+00  7.78169364E+00  6.05547625E+01  6.66666630E-01  1.37107504E-26  0.00000000E+00 -6.23873501E+00 -5.90259283E+00  0.00000000E+00
    1031  2.78956876E+00  7.78169407E+00  6.05547692E+01  6.66666631E-01  1.34462179E-26  0.00000000E+00 -6.23873510E+00 -5.90259289E+00  0.00000000E+00
    1041  2.78956884E+00  7.78169450E+00  6.05547756E+01  6.66666632E-01  1.31892674E-26  0.00000000E+00 -6.23873518E+00 -5.90259296E+00  0.00000000E+00
    1051  2.78956891E+00  7.78169491E+00  6.05547819E+01  6.66666632E-01  1.29396121E-26  0.00000000E+00 -6.23873526E+00 -5.90259303E+00  0.00000000E+00
    1061  2.78956898E+00  7.78169531E+00  6.05547880E+01  6.66666633E-01  1.26969791E-26  0.00000000E+00 -6.23873534E+00 -5.90259309E+00  0.00000000E+00
    1071  2.78956905E+00  7.78169569E+00  6.05547938E+01  6.66666634E-01  1.24611062E-26  0.00000000E+00 -6.23873542E+00 -5.90259315E+00  0.00000000E+00
    1081  2.78956912E+00  7.78169606E+00  6.05547995E+01  6.66666634E-01  1.22317459E-26  0.00000000E+00 -6.23873549E+00 -5.90259321E+00  0.00000000E+00
    1091  2.78956918E+00  7.78169643E+00  6.05548051E+01  6.66666635E-01  1.20086595E-26  0.00000000E+00 -6.23873556E+00 -5.90259327E+00  0.00000000E+00
    1101  2.78956925E+00  7.78169678E+00  6.05548104E+01  6.66666635E-01  1.17916211E-26  0.00000000E+00 -6.23873563E+00 -5.90259332E+00  0.00000000E+00
    1111  2.78956931E+00  7.78169712E+00  6.05548156E+01  6.66666636E-01  1.15804135E-26  0.00000000E+00 -6.23873570E+00 -5.90259338E+00  0.00000000E+00
    1121  2.78956937E+00  7.78169745E+00  6.05548207E+01  6.66666636E-01  1.13748301E-26  0.00000000E+00 -6.23873577E+00 -5.90259343E+00  0.00000000E+00
    1131  2.78956943E+00  7.78169777E+00  6.05548256E+01  6.66666637E-01  1.11746725E-26  0.00000000E+00 -6.23873583E+00 -5.90259349E+00  0.00000000E+00
    1141  2.78956948E+00  7.78169808E+00  6.05548303E+01  6.66666637E-01  1.09797518E-26  0.00000000E+00 -6.23873589E+00 -5.90259354E+00  0.00000000E+00
