#          E(meV)         D(S(q,E))         Int(D(S))  
    127.133677828613    0.001274098124    0.673803232139
    128.142675271697    0.001204872054    0.675018944960
    129.151672714782    0.001136604682    0.676165776178
    130.160670157866    0.001069661015    0.677245061407
    131.169667600950    0.001004946588    0.678259049945
    132.178665044034    0.000943419384    0.679210957691
    133.187662487119    0.000885631002    0.680104557107
    134.196659930203    0.000831502455    0.680943540958
    135.205657373287    0.000780425491    0.681730988283
    136.214654816371    0.000731636127    0.682469207265
    137.223652259456    0.000684691373    0.683160059109
    138.232649702540    0.000639836716    0.683805652720
    139.241647145624    0.000598097705    0.684409131775
    140.250644588708    0.000561047011    0.684975226774
    141.259642031792    0.000530340002    0.685510338480
    142.268639474877    0.000507213286    0.686022115389
    143.277636917961    0.000492152268    0.686518695769
    144.286634361045    0.000484848352    0.687007906516
