   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
     711  1.43115936E-02  2.42056742E-04  9.68083359E-08  4.49246666E-01  3.58409323E-03  3.04566668E-01 -2.44976284E-01 -2.42471917E-01  0.00000000E+00
     721  1.42259247E-02  2.39794317E-04  9.56047272E-08  4.45782366E-01  3.60164560E-03  3.15918650E-01 -2.45045521E-01 -2.42541299E-01  0.00000000E+00
     731  1.41645383E-02  2.37987587E-04  9.42439191E-08  4.45344309E-01  3.59549079E-03  3.11458670E-01 -2.45075158E-01 -2.42568999E-01  0.00000000E+00
     741  1.42800028E-02  2.41306567E-04  9.59364296E-08  4.50808239E-01  3.59882591E-03  3.15651928E-01 -2.45065521E-01 -2.42559689E-01  0.00000000E+00
     751  1.43082262E-02  2.41515630E-04  9.54484500E-08  4.54547243E-01  3.54128462E-03  3.19384764E-01 -2.45113702E-01 -2.42603902E-01  0.00000000E+00
     761  1.43417159E-02  2.42841204E-04  9.68875020E-08  4.52351694E-01  3.57652351E-03  3.18816845E-01 -2.45097404E-01 -2.42588409E-01  0.00000000E+00
     771  1.43200636E-02  2.41956228E-04  9.62064183E-08  4.52216206E-01  3.55107516E-03  3.20022069E-01 -2.45122391E-01 -2.42612737E-01  0.00000000E+00
     781  1.42909585E-02  2.40912786E-04  9.52037802E-08  4.53219222E-01  3.53079240E-03  3.24117397E-01 -2.45079927E-01 -2.42564813E-01  0.00000000E+00
     791  1.42804604E-02  2.40465042E-04  9.48008063E-08  4.53504138E-01  3.51656591E-03  3.30616886E-01 -2.45076099E-01 -2.42558435E-01  0.00000000E+00
     801  1.41891728E-02  2.38249184E-04  9.34951532E-08  4.50958717E-01  3.55343825E-03  3.29067711E-01 -2.45052532E-01 -2.42538833E-01  0.00000000E+00
     811  1.42668273E-02  2.40715260E-04  9.51697071E-08  4.52517513E-01  3.57811256E-03  3.30847474E-01 -2.45030434E-01 -2.42513569E-01  0.00000000E+00
     821  1.43254878E-02  2.42473280E-04  9.61738335E-08  4.54734653E-01  3.58588815E-03  3.24783251E-01 -2.45027729E-01 -2.42511606E-01  0.00000000E+00
     831  1.43665344E-02  2.44075082E-04  9.77329310E-08  4.53144252E-01  3.62670959E-03  3.22867055E-01 -2.45055507E-01 -2.42539798E-01  0.00000000E+00
     841  1.43796498E-02  2.43830055E-04  9.69715565E-08  4.56313386E-01  3.56683403E-03  3.19910603E-01 -2.45060707E-01 -2.42541572E-01  0.00000000E+00
     851  1.43748437E-02  2.43912922E-04  9.70311121E-08  4.56349068E-01  3.58811276E-03  3.18143929E-01 -2.45058521E-01 -2.42537378E-01  0.00000000E+00
     861  1.43478678E-02  2.42843541E-04  9.60816791E-08  4.56916992E-01  3.55975962E-03  3.16119573E-01 -2.45032740E-01 -2.42512200E-01  0.00000000E+00
     871  1.43943809E-02  2.43799097E-04  9.62094088E-08  4.60449490E-01  3.52305384E-03  3.15840076E-01 -2.45010224E-01 -2.42488482E-01  0.00000000E+00
     881  1.44434079E-02  2.45976439E-04  9.96094266E-08  4.51227720E-01  3.59654656E-03  3.17574870E-01 -2.45001111E-01 -2.42480023E-01  0.00000000E+00
     891  1.44665259E-02  2.47741083E-04  1.02553894E-07  4.43026112E-01  3.70207240E-03  3.24926021E-01 -2.45039406E-01 -2.42519294E-01  0.00000000E+00
     901  1.44833871E-02  2.48951011E-04  1.04246382E-07  4.39324026E-01  3.77154958E-03  3.25576556E-01 -2.45066174E-01 -2.42549268E-01  0.00000000E+00
     911  1.44553762E-02  2.48001775E-04  1.03274965E-07  4.40288511E-01  3.75820520E-03  3.25037846E-01 -2.45085682E-01 -2.42566499E-01  0.00000000E+00
     921  1.44373736E-02  2.47383683E-04  1.02859129E-07  4.39753068E-01  3.74877717E-03  3.27044482E-01 -2.45087142E-01 -2.42567725E-01  0.00000000E+00
     931  1.44413023E-02  2.47436503E-04  1.02918888E-07  4.39666883E-01  3.74294047E-03  3.27218824E-01 -2.45129977E-01 -2.42611953E-01  0.00000000E+00
     941  1.44629144E-02  2.47838428E-04  1.02855096E-07  4.41829000E-01  3.72149885E-03  3.27044093E-01 -2.45153545E-01 -2.42633641E-01  0.00000000E+00
     951  1.44916072E-02  2.48499943E-04  1.03140560E-07  4.43255872E-01  3.70520555E-03  3.23386942E-01 -2.45152700E-01 -2.42631198E-01  0.00000000E+00
     961  1.44946242E-02  2.48149637E-04  1.02348631E-07  4.45969725E-01  3.66306873E-03  3.25938806E-01 -2.45157731E-01 -2.42635828E-01  0.00000000E+00
     971  1.45465479E-02  2.49954453E-04  1.03668389E-07  4.46900407E-01  3.69164641E-03  3.23882596E-01 -2.45174224E-01 -2.42652489E-01  0.00000000E+00
     981  1.44888228E-02  2.47970007E-04  1.02245191E-07  4.45727503E-01  3.66196320E-03  3.21828177E-01 -2.45143571E-01 -2.42625387E-01  0.00000000E+00
     991  1.44957728E-02  2.48090324E-04  1.02078570E-07  4.47167366E-01  3.65415442E-03  3.23151772E-01 -2.45135474E-01 -2.42616279E-01  0.00000000E+00
   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  1.53816420E-02  2.36594912E-04  5.59771523E-08  6.66666667E-01  6.34539174E-19  8.42911778E-15 -2.43714243E-01 -2.41253188E-01  0.00000000E+00
      11  1.44152796E-02  2.32670585E-04  7.51630193E-08  5.37192915E-01  2.39391433E-03  2.98552874E-01 -2.45141312E-01 -2.42787115E-01  0.00000000E+00
      21  1.34365097E-02  2.04867824E-04  6.13475086E-08  5.12776570E-01  2.34171778E-03  1.96131198E-01 -2.42629204E-01 -2.40150451E-01  0.00000000E+00
