   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
   15500  1.93585794E-03 -8.55847670E-03  3.14387470E-01  3.14509899E-01  0.00000000E+00
   15600  1.93294217E-03 -8.56274385E-03  3.14375269E-01  3.14497801E-01  0.00000000E+00
   15700  1.93009327E-03 -8.56717682E-03  3.14363544E-01  3.14486183E-01  0.00000000E+00
   15800  1.92731195E-03 -8.57177477E-03  3.14352285E-01  3.14475037E-01  0.00000000E+00
   15900  1.92459900E-03 -8.57653691E-03  3.14341487E-01  3.14464357E-01  0.00000000E+00
   16000  1.92195522E-03 -8.58146256E-03  3.14331144E-01  3.14454135E-01  0.00000000E+00
   16100  1.91938145E-03 -8.58655116E-03  3.14321247E-01  3.14444366E-01  0.00000000E+00
   16200  1.91687860E-03 -8.59180223E-03  3.14311792E-01  3.14435042E-01  0.00000000E+00
   16300  1.91444756E-03 -8.59721544E-03  3.14302771E-01  3.14426158E-01  0.00000000E+00
   16400  1.91208927E-03 -8.60279056E-03  3.14294178E-01  3.14417707E-01  0.00000000E+00
   16500  1.90980469E-03 -8.60852752E-03  3.14286009E-01  3.14409684E-01  0.00000000E+00
   16600  1.90759479E-03 -8.61442638E-03  3.14278256E-01  3.14402082E-01  0.00000000E+00
   16700  1.90546055E-03 -8.62048735E-03  3.14270913E-01  3.14394896E-01  0.00000000E+00
   16800  1.90340296E-03 -8.62671079E-03  3.14263976E-01  3.14388120E-01  0.00000000E+00
   16900  1.90142302E-03 -8.63309723E-03  3.14257439E-01  3.14381748E-01  0.00000000E+00
   17000  1.89952172E-03 -8.63964738E-03  3.14251296E-01  3.14375776E-01  0.00000000E+00
   17100  1.89770008E-03 -8.64636210E-03  3.14245540E-01  3.14370197E-01  0.00000000E+00
   17200  1.89595908E-03 -8.65324245E-03  3.14240168E-01  3.14365005E-01  0.00000000E+00
   17300  1.89429972E-03 -8.66028967E-03  3.14235172E-01  3.14360195E-01  0.00000000E+00
   17400  1.89272298E-03 -8.66750517E-03  3.14230547E-01  3.14355761E-01  0.00000000E+00
   17500  1.89122985E-03 -8.67489058E-03  3.14226287E-01  3.14351698E-01  0.00000000E+00
   17600  1.88982128E-03 -8.68244772E-03  3.14222385E-01  3.14347997E-01  0.00000000E+00
   17700  1.88849823E-03 -8.69017861E-03  3.14218834E-01  3.14344654E-01  0.00000000E+00
   17800  1.88726165E-03 -8.69808548E-03  3.14215629E-01  3.14341661E-01  0.00000000E+00
   17900  1.88611246E-03 -8.70617077E-03  3.14212760E-01  3.14339010E-01  0.00000000E+00
   18000  1.88505158E-03 -8.71443711E-03  3.14210220E-01  3.14336694E-01  0.00000000E+00
   18100  1.88407991E-03 -8.72288739E-03  3.14208000E-01  3.14334703E-01  0.00000000E+00
   18200  1.88319833E-03 -8.73152467E-03  3.14206090E-01  3.14333029E-01  0.00000000E+00
   18300  1.88240771E-03 -8.74035225E-03  3.14204481E-01  3.14331661E-01  0.00000000E+00
   18400  1.88170890E-03 -8.74937365E-03  3.14203160E-01  3.14330587E-01  0.00000000E+00
   18500  1.88110273E-03 -8.75859261E-03  3.14202115E-01  3.14329796E-01  0.00000000E+00
   18600  1.88059001E-03 -8.76801309E-03  3.14201332E-01  3.14329273E-01  0.00000000E+00
   18700  1.88017157E-03 -8.77763924E-03  3.14200797E-01  3.14329004E-01  0.00000000E+00
   18800  1.87984817E-03 -8.78747547E-03  3.14200491E-01  3.14328971E-01  0.00000000E+00
   18900  1.87962060E-03 -8.79752637E-03  3.14200395E-01  3.14329155E-01  0.00000000E+00
   19000  1.87948961E-03 -8.80779675E-03  3.14200490E-01  3.14329537E-01  0.00000000E+00
   19100  1.87945595E-03 -8.81829163E-03  3.14200751E-01  3.14330091E-01  0.00000000E+00
   19200  1.87952037E-03 -8.82901622E-03  3.14201152E-01  3.14330794E-01  0.00000000E+00
   19300  1.87968360E-03 -8.83997592E-03  3.14201664E-01  3.14331615E-01  0.00000000E+00
   19400  1.87994636E-03 -8.85117631E-03  3.14202255E-01  3.14332522E-01  0.00000000E+00
