   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
     861  3.77229233E-02  1.66849375E-03  4.56679494E-06  4.53184158E-01  1.10758174E-03  2.01869104E-01 -1.25262985E+00 -1.23571945E+00  0.00000000E+00
     871  3.78059240E-02  1.67468545E-03  4.59397534E-06  4.53989604E-01  1.10723319E-03  1.99711866E-01 -1.25269117E+00 -1.23578353E+00  0.00000000E+00
     881  3.77406435E-02  1.66922084E-03  4.56243897E-06  4.54181546E-01  1.10482880E-03  1.97574405E-01 -1.25235877E+00 -1.23545627E+00  0.00000000E+00
     891  3.75093979E-02  1.65074483E-03  4.48458347E-06  4.51418743E-01  1.09997942E-03  1.95278130E-01 -1.25260214E+00 -1.23570561E+00  0.00000000E+00
     901  3.74427810E-02  1.64388677E-03  4.44177293E-06  4.52112619E-01  1.09156464E-03  2.01907837E-01 -1.25291799E+00 -1.23601904E+00  0.00000000E+00
     911  3.74276815E-02  1.64037853E-03  4.40157888E-06  4.54745722E-01  1.08083632E-03  2.00600335E-01 -1.25264385E+00 -1.23575175E+00  0.00000000E+00
     921  3.73804090E-02  1.63723996E-03  4.39147743E-06  4.53909362E-01  1.08263114E-03  2.05464004E-01 -1.25216040E+00 -1.23526112E+00  0.00000000E+00
     931  3.75139033E-02  1.64889254E-03  4.44969955E-06  4.54462350E-01  1.09009678E-03  2.03832990E-01 -1.25221604E+00 -1.23532318E+00  0.00000000E+00
     941  3.76611479E-02  1.65965935E-03  4.48900786E-06  4.56760679E-01  1.08873276E-03  2.02601984E-01 -1.25203140E+00 -1.23513015E+00  0.00000000E+00
     951  3.77185136E-02  1.66883040E-03  4.57966979E-06  4.51863771E-01  1.11060171E-03  2.03387657E-01 -1.25242923E+00 -1.23552096E+00  0.00000000E+00
     961  3.77837428E-02  1.67429459E-03  4.62059064E-06  4.50569845E-01  1.11303478E-03  2.05903178E-01 -1.25283906E+00 -1.23593462E+00  0.00000000E+00
