   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  1.80449563E-02  3.25620449E-04  1.06028677E-07  6.66666667E-01  2.36498112E-20 -9.16911055E-14 -1.63195172E+00 -1.60875978E+00  0.00000000E+00
     151  4.59850989E-02  2.43749636E-03  9.19025846E-06  4.84393339E-01  2.08110753E-03  3.83655213E-01 -1.82787788E+00 -1.80649565E+00  0.00000000E+00
     161  4.60291302E-02  2.42935948E-03  9.03318519E-06  4.89805125E-01  2.00254474E-03  3.41254578E-01 -1.82808085E+00 -1.80656704E+00  0.00000000E+00
     171  4.52739675E-02  2.36366134E-03  8.75530941E-06  4.77628183E-01  2.02349688E-03  3.52910344E-01 -1.82749662E+00 -1.80585942E+00  0.00000000E+00
     181  4.51781387E-02  2.37854426E-03  9.03337801E-06  4.67761292E-01  2.17529876E-03  3.35796308E-01 -1.82756701E+00 -1.80601499E+00  0.00000000E+00
     191  4.61265050E-02  2.47820798E-03  9.70520259E-06  4.73245991E-01  2.25956655E-03  3.32421741E-01 -1.82682096E+00 -1.80511100E+00  0.00000000E+00
     201  4.54313155E-02  2.41151587E-03  9.21427918E-06  4.71846863E-01  2.23995827E-03  3.59573767E-01 -1.82536306E+00 -1.80356769E+00  0.00000000E+00
     211  4.59514926E-02  2.45271320E-03  9.38348394E-06  4.80064675E-01  2.19910586E-03  3.79931104E-01 -1.82504991E+00 -1.80329685E+00  0.00000000E+00
     221  4.57390548E-02  2.42157425E-03  9.09761860E-06  4.82856713E-01  2.12394621E-03  3.62013768E-01 -1.82488946E+00 -1.80316276E+00  0.00000000E+00
     231  4.45677992E-02  2.31483741E-03  8.49391158E-06  4.71621066E-01  2.11772982E-03  3.59358399E-01 -1.82384708E+00 -1.80215486E+00  0.00000000E+00
     241  4.56420487E-02  2.44801528E-03  9.94361896E-06  4.46911067E-01  2.35151568E-03  3.44440507E-01 -1.82282279E+00 -1.80116346E+00  0.00000000E+00
     251  4.57854271E-02  2.47657612E-03  1.02123550E-05  4.44989392E-01  2.45111554E-03  3.53800739E-01 -1.82059151E+00 -1.79886793E+00  0.00000000E+00
     261  4.57352301E-02  2.45775214E-03  9.94998820E-06  4.50933249E-01  2.35939354E-03  3.47194261E-01 -1.81903440E+00 -1.79739571E+00  0.00000000E+00
     271  4.55811120E-02  2.43442238E-03  9.70646614E-06  4.54056091E-01  2.29973039E-03  3.67074166E-01 -1.81776798E+00 -1.79617628E+00  0.00000000E+00
     281  4.52934245E-02  2.39810269E-03  9.36775675E-06  4.57026297E-01  2.23413744E-03  3.77514012E-01 -1.81820470E+00 -1.79648069E+00  0.00000000E+00
     291  4.51939569E-02  2.38526975E-03  9.19471174E-06  4.61306341E-01  2.20943503E-03  4.16557416E-01 -1.81845556E+00 -1.79683131E+00  0.00000000E+00
     301  4.54305805E-02  2.40459134E-03  9.23755721E-06  4.67458660E-01  2.19575521E-03  4.15133813E-01 -1.81939552E+00 -1.79783283E+00  0.00000000E+00
     311  4.61905831E-02  2.47996561E-03  9.76232138E-06  4.70896630E-01  2.23276618E-03  4.08330340E-01 -1.82020121E+00 -1.79851978E+00  0.00000000E+00
     321  4.68722566E-02  2.57207033E-03  1.05884904E-05  4.66484410E-01  2.41754048E-03  4.36421038E-01 -1.82017105E+00 -1.79843203E+00  0.00000000E+00
     331  4.64136318E-02  2.53231095E-03  1.03311627E-05  4.62975772E-01  2.43703131E-03  4.65446245E-01 -1.82082264E+00 -1.79898168E+00  0.00000000E+00
     341  4.56295679E-02  2.45520670E-03  9.84471686E-06  4.55615369E-01  2.40521202E-03  4.81795149E-01 -1.82196617E+00 -1.80011440E+00  0.00000000E+00
     351  4.52472947E-02  2.41694712E-03  9.57502265E-06  4.53633253E-01  2.38252448E-03  4.64028032E-01 -1.82270596E+00 -1.80081663E+00  0.00000000E+00
     361  4.53822566E-02  2.43805448E-03  9.80098513E-06  4.50381094E-01  2.43973548E-03  4.47895459E-01 -1.82323654E+00 -1.80138221E+00  0.00000000E+00
     371  4.49120698E-02  2.39305113E-03  9.48728835E-06  4.47773951E-01  2.42331085E-03  4.64863446E-01 -1.82456769E+00 -1.80269324E+00  0.00000000E+00
     381  4.46568487E-02  2.35870827E-03  9.20430492E-06  4.48530772E-01  2.34929487E-03  4.61660588E-01 -1.82430968E+00 -1.80243953E+00  0.00000000E+00
     391  4.51124909E-02  2.39636816E-03  9.39520242E-06  4.54646876E-01  2.32839265E-03  4.42144849E-01 -1.82444846E+00 -1.80246441E+00  0.00000000E+00
     401  4.47486469E-02  2.36335383E-03  9.18557841E-06  4.51814227E-01  2.32633715E-03  4.45782447E-01 -1.82509055E+00 -1.80309468E+00  0.00000000E+00
     411  4.43133895E-02  2.32029333E-03  8.89322434E-06  4.49379713E-01  2.29864907E-03  4.50966282E-01 -1.82576846E+00 -1.80374696E+00  0.00000000E+00
     421  4.45929729E-02  2.34118078E-03  8.96659083E-06  4.54699120E-01  2.27306407E-03  4.46815020E-01 -1.82651148E+00 -1.80451290E+00  0.00000000E+00
     431  4.46671159E-02  2.34388065E-03  8.92857210E-06  4.58261417E-01  2.24780889E-03  4.52923246E-01 -1.82743360E+00 -1.80545233E+00  0.00000000E+00
     441  4.42145368E-02  2.30898483E-03  8.73088089E-06  4.54123184E-01  2.28216553E-03  4.53688362E-01 -1.82691392E+00 -1.80491631E+00  0.00000000E+00
     451  4.48241052E-02  2.37526487E-03  9.23686299E-06  4.54268334E-01  2.35954569E-03  4.36272837E-01 -1.82695774E+00 -1.80490861E+00  0.00000000E+00
     461  4.44252471E-02  2.33619845E-03  8.98623186E-06  4.51171187E-01  2.33718812E-03  4.26971936E-01 -1.82731171E+00 -1.80523995E+00  0.00000000E+00
     471  4.40858503E-02  2.30692165E-03  8.82942089E-06  4.46974347E-01  2.34210991E-03  4.38101446E-01 -1.82734474E+00 -1.80525352E+00  0.00000000E+00
     481  4.41281394E-02  2.30957561E-03  8.83007255E-06  4.48203873E-01  2.33517094E-03  4.57362771E-01 -1.82773573E+00 -1.80558405E+00  0.00000000E+00
     491  4.44491924E-02  2.33026511E-03  8.84818630E-06  4.56846805E-01  2.28522623E-03  4.53242935E-01 -1.82760489E+00 -1.80549145E+00  0.00000000E+00
     501  4.44371422E-02  2.32335238E-03  8.74327486E-06  4.60088335E-01  2.24757275E-03  4.65576980E-01 -1.82731684E+00 -1.80520941E+00  0.00000000E+00
     511  4.41286560E-02  2.28807107E-03  8.50070844E-06  4.58753818E-01  2.19626502E-03  4.72635539E-01 -1.82762637E+00 -1.80551455E+00  0.00000000E+00
     521  4.39835231E-02  2.27584469E-03  8.45360560E-06  4.55954170E-01  2.19988487E-03  4.61626849E-01 -1.82748359E+00 -1.80537790E+00  0.00000000E+00
     531  4.39639597E-02  2.26629320E-03  8.31478727E-06  4.60367998E-01  2.14940895E-03  4.52962579E-01 -1.82740603E+00 -1.80529696E+00  0.00000000E+00
     541  4.42431888E-02  2.30061585E-03  8.64515025E-06  4.55543641E-01  2.21188496E-03  4.58653560E-01 -1.82705014E+00 -1.80499171E+00  0.00000000E+00
     551  4.41140037E-02  2.28608341E-03  8.51941914E-06  4.56618829E-01  2.19178720E-03  4.59335821E-01 -1.82782224E+00 -1.80575470E+00  0.00000000E+00
     561  4.41608788E-02  2.28913930E-03  8.52390529E-06  4.57783262E-01  2.18481284E-03  4.49076995E-01 -1.82806672E+00 -1.80596270E+00  0.00000000E+00
     571  4.41589969E-02  2.28645022E-03  8.46283362E-06  4.60401109E-01  2.16855120E-03  4.59730994E-01 -1.82798252E+00 -1.80591091E+00  0.00000000E+00
     581  4.39954441E-02  2.27078174E-03  8.37148695E-06  4.58833925E-01  2.16049037E-03  4.55432496E-01 -1.82807954E+00 -1.80599870E+00  0.00000000E+00
     591  4.41041358E-02  2.27763993E-03  8.34760216E-06  4.63622746E-01  2.14297410E-03  4.48649486E-01 -1.82803598E+00 -1.80601396E+00  0.00000000E+00
     601  4.39962235E-02  2.27468769E-03  8.39582219E-06  4.59123112E-01  2.18522492E-03  4.46485163E-01 -1.82827366E+00 -1.80626926E+00  0.00000000E+00
     611  4.38712790E-02  2.26594570E-03  8.35784664E-06  4.57407052E-01  2.19964123E-03  4.47381021E-01 -1.82774841E+00 -1.80575984E+00  0.00000000E+00
     621  4.43725879E-02  2.32096814E-03  8.86583943E-06  4.51394386E-01  2.26915827E-03  4.52080952E-01 -1.82792653E+00 -1.80600177E+00  0.00000000E+00
     631  4.42832456E-02  2.31092903E-03  8.80328193E-06  4.50522217E-01  2.25550372E-03  4.57951327E-01 -1.82814400E+00 -1.80619632E+00  0.00000000E+00
     641  4.43555305E-02  2.31191638E-03  8.74500932E-06  4.54625565E-01  2.22056863E-03  4.56982267E-01 -1.82845904E+00 -1.80647468E+00  0.00000000E+00
     651  4.41852323E-02  2.29822694E-03  8.66699548E-06  4.53032536E-01  2.22952097E-03  4.56166084E-01 -1.82842157E+00 -1.80641360E+00  0.00000000E+00
     661  4.41405335E-02  2.29001653E-03  8.57930796E-06  4.54677061E-01  2.20204714E-03  4.62860771E-01 -1.82862538E+00 -1.80656783E+00  0.00000000E+00
     671  4.40935923E-02  2.29121433E-03  8.60574380E-06  4.53568505E-01  2.23646473E-03  4.59410100E-01 -1.82829904E+00 -1.80624040E+00  0.00000000E+00
     681  4.36428635E-02  2.25710722E-03  8.43520458E-06  4.48087811E-01  2.27151800E-03  4.53581012E-01 -1.82792010E+00 -1.80586564E+00  0.00000000E+00
     691  4.37303748E-02  2.26703253E-03  8.48614105E-06  4.49606258E-01  2.28620888E-03  4.53091337E-01 -1.82737108E+00 -1.80534651E+00  0.00000000E+00
     701  4.40595477E-02  2.29886789E-03  8.70807769E-06  4.50746274E-01  2.30514186E-03  4.55875403E-01 -1.82777183E+00 -1.80576219E+00  0.00000000E+00
     711  4.40257095E-02  2.29383839E-03  8.67187494E-06  4.50628510E-01  2.29193548E-03  4.72151628E-01 -1.82740799E+00 -1.80542239E+00  0.00000000E+00
     721  4.39231939E-02  2.28268735E-03  8.57871521E-06  4.51207546E-01  2.27817452E-03  4.69253656E-01 -1.82754034E+00 -1.80552083E+00  0.00000000E+00
     731  4.40357857E-02  2.29835335E-03  8.74916055E-06  4.47907895E-01  2.31531815E-03  4.58549505E-01 -1.82756737E+00 -1.80553685E+00  0.00000000E+00
     741  4.41367615E-02  2.32158563E-03  9.09835171E-06  4.37306300E-01  2.40767868E-03  4.52588466E-01 -1.82750629E+00 -1.80548741E+00  0.00000000E+00
     751  4.38379869E-02  2.29092769E-03  8.90324779E-06  4.34536674E-01  2.37948955E-03  4.47475010E-01 -1.82730652E+00 -1.80527011E+00  0.00000000E+00
     761  4.40480504E-02  2.30650467E-03  8.93795256E-06  4.39974099E-01  2.36089578E-03  4.50717346E-01 -1.82703507E+00 -1.80500240E+00  0.00000000E+00
     771  4.40724946E-02  2.30509721E-03  8.88399959E-06  4.42674664E-01  2.33793940E-03  4.41510882E-01 -1.82724815E+00 -1.80516665E+00  0.00000000E+00
     781  4.41471680E-02  2.30695336E-03  8.83876817E-06  4.46404108E-01  2.30744145E-03  4.45172349E-01 -1.82731231E+00 -1.80524449E+00  0.00000000E+00
     791  4.39003022E-02  2.28279172E-03  8.67954836E-06  4.44807880E-01  2.29180592E-03  4.38686422E-01 -1.82727670E+00 -1.80516045E+00  0.00000000E+00
     801  4.41159525E-02  2.30103879E-03  8.76138148E-06  4.48426420E-01  2.28707692E-03  4.39188936E-01 -1.82726334E+00 -1.80516863E+00  0.00000000E+00
     811  4.42375549E-02  2.30915655E-03  8.78156809E-06  4.51035750E-01  2.27014896E-03  4.47390332E-01 -1.82724651E+00 -1.80512676E+00  0.00000000E+00
     821  4.44452141E-02  2.32668583E-03  8.85493626E-06  4.54758761E-01  2.26443476E-03  4.57240453E-01 -1.82704007E+00 -1.80492025E+00  0.00000000E+00
     831  4.45564329E-02  2.33722944E-03  8.90707836E-06  4.56485265E-01  2.26859193E-03  4.65349225E-01 -1.82649570E+00 -1.80441336E+00  0.00000000E+00
     841  4.47275800E-02  2.35946623E-03  9.17274180E-06  4.50774892E-01  2.31342885E-03  4.76584377E-01 -1.82618753E+00 -1.80408234E+00  0.00000000E+00
     851  4.48093389E-02  2.36459841E-03  9.17136924E-06  4.53238236E-01  2.29932404E-03  4.68664131E-01 -1.82612839E+00 -1.80399363E+00  0.00000000E+00
     861  4.48674544E-02  2.36484212E-03  9.12879349E-06  4.55888600E-01  2.26730234E-03  4.64111176E-01 -1.82632890E+00 -1.80417964E+00  0.00000000E+00
     871  4.48767153E-02  2.36617607E-03  9.11747717E-06  4.57175657E-01  2.27054348E-03  4.62704556E-01 -1.82670680E+00 -1.80454966E+00  0.00000000E+00
     881  4.50654860E-02  2.38274174E-03  9.19437000E-06  4.60182726E-01  2.26788281E-03  4.63807369E-01 -1.82641640E+00 -1.80429025E+00  0.00000000E+00
     891  4.50753566E-02  2.38209313E-03  9.17533345E-06  4.61006998E-01  2.25796707E-03  4.63902630E-01 -1.82623421E+00 -1.80412386E+00  0.00000000E+00
     901  4.53139138E-02  2.40598772E-03  9.30411108E-06  4.64244277E-01  2.27299572E-03  4.65160200E-01 -1.82573295E+00 -1.80359012E+00  0.00000000E+00
     911  4.53886551E-02  2.41269087E-03  9.35126482E-06  4.64516937E-01  2.27250534E-03  4.69135637E-01 -1.82612178E+00 -1.80397562E+00  0.00000000E+00
     921  4.52983972E-02  2.40773084E-03  9.34398440E-06  4.62727045E-01  2.29329397E-03  4.64015217E-01 -1.82621695E+00 -1.80407649E+00  0.00000000E+00
     931  4.55313380E-02  2.43714486E-03  9.63540341E-06  4.59263160E-01  2.34651025E-03  4.66753239E-01 -1.82572432E+00 -1.80358072E+00  0.00000000E+00
     941  4.54550237E-02  2.42591928E-03  9.53018209E-06  4.60206996E-01  2.31890956E-03  4.62840012E-01 -1.82559727E+00 -1.80346159E+00  0.00000000E+00
     951  4.53576659E-02  2.41960086E-03  9.50794953E-06  4.58649984E-01  2.33517147E-03  4.55687231E-01 -1.82586309E+00 -1.80372102E+00  0.00000000E+00
     961  4.54083140E-02  2.42713795E-03  9.61859667E-06  4.55746115E-01  2.35412164E-03  4.47472570E-01 -1.82595910E+00 -1.80381675E+00  0.00000000E+00
     971  4.56436117E-02  2.45057777E-03  9.77822857E-06  4.57247352E-01  2.36711307E-03  4.43665368E-01 -1.82575717E+00 -1.80361508E+00  0.00000000E+00
     981  4.55527802E-02  2.44293688E-03  9.74472724E-06  4.55718038E-01  2.37125514E-03  4.49075846E-01 -1.82557664E+00 -1.80347202E+00  0.00000000E+00
     991  4.54544207E-02  2.43179199E-03  9.66924235E-06  4.54972592E-01  2.35711670E-03  4.41934308E-01 -1.82546823E+00 -1.80331379E+00  0.00000000E+00
    1001  4.52436043E-02  2.40999412E-03  9.52624260E-06  4.53275649E-01  2.33985997E-03  4.35910145E-01 -1.82569054E+00 -1.80352133E+00  0.00000000E+00
    1011  4.51673290E-02  2.40085158E-03  9.45649412E-06  4.53137332E-01  2.32538021E-03  4.39195562E-01 -1.82527399E+00 -1.80315792E+00  0.00000000E+00
    1021  4.50260083E-02  2.38500445E-03  9.33772774E-06  4.52805702E-01  2.30539249E-03  4.37503334E-01 -1.82539102E+00 -1.80328799E+00  0.00000000E+00
    1031  4.48731646E-02  2.36778517E-03  9.21366944E-06  4.52194008E-01  2.28296942E-03  4.31114184E-01 -1.82556339E+00 -1.80346223E+00  0.00000000E+00
    1041  4.46727883E-02  2.35419575E-03  9.14907177E-06  4.49736587E-01  2.31103054E-03  4.28482919E-01 -1.82560186E+00 -1.80349258E+00  0.00000000E+00
    1051  4.46167768E-02  2.34703757E-03  9.09028392E-06  4.49932342E-01  2.29712755E-03  4.29934293E-01 -1.82616768E+00 -1.80407320E+00  0.00000000E+00
    1061  4.45588552E-02  2.33939513E-03  9.02933774E-06  4.50044590E-01  2.28115998E-03  4.27037705E-01 -1.82607633E+00 -1.80397714E+00  0.00000000E+00
    1071  4.47103450E-02  2.35114513E-03  9.06527142E-06  4.53360912E-01  2.26972927E-03  4.26805954E-01 -1.82600958E+00 -1.80391778E+00  0.00000000E+00
    1081  4.47938908E-02  2.35755980E-03  9.06616768E-06  4.56277811E-01  2.26287731E-03  4.23893142E-01 -1.82587408E+00 -1.80377510E+00  0.00000000E+00
    1091  4.46829982E-02  2.34943845E-03  9.02457138E-06  4.55024239E-01  2.27448585E-03  4.23669725E-01 -1.82577968E+00 -1.80368416E+00  0.00000000E+00
    1101  4.45782192E-02  2.33842103E-03  8.95116671E-06  4.54351489E-01  2.26375559E-03  4.20749657E-01 -1.82582967E+00 -1.80370018E+00  0.00000000E+00
    1111  4.46231356E-02  2.33973388E-03  8.92729376E-06  4.56417281E-01  2.24639245E-03  4.28408385E-01 -1.82543877E+00 -1.80330652E+00  0.00000000E+00
    1121  4.45099856E-02  2.32854370E-03  8.86493480E-06  4.55013800E-01  2.23927141E-03  4.25344018E-01 -1.82563533E+00 -1.80348839E+00  0.00000000E+00
    1131  4.46221239E-02  2.33835820E-03  8.92169958E-06  4.56118533E-01  2.23810719E-03  4.34182742E-01 -1.82510840E+00 -1.80295521E+00  0.00000000E+00
    1141  4.47316581E-02  2.34636785E-03  8.94681124E-06  4.58305008E-01  2.22664900E-03  4.35432609E-01 -1.82521687E+00 -1.80305378E+00  0.00000000E+00
    1151  4.47089335E-02  2.34489424E-03  8.93199907E-06  4.58521902E-01  2.23025141E-03  4.32437096E-01 -1.82541322E+00 -1.80326843E+00  0.00000000E+00
    1161  4.49044819E-02  2.36347069E-03  9.03565899E-06  4.60814587E-01  2.23703678E-03  4.31385305E-01 -1.82538149E+00 -1.80324624E+00  0.00000000E+00
    1171  4.47972253E-02  2.35176859E-03  8.94710179E-06  4.60772597E-01  2.22362321E-03  4.35546035E-01 -1.82576928E+00 -1.80365052E+00  0.00000000E+00
    1181  4.48709387E-02  2.35920706E-03  8.98573848E-06  4.61853647E-01  2.22896493E-03  4.36356654E-01 -1.82601550E+00 -1.80387250E+00  0.00000000E+00
    1191  4.46312156E-02  2.33770279E-03  8.86263453E-06  4.59416240E-01  2.22865211E-03  4.34043313E-01 -1.82599025E+00 -1.80385604E+00  0.00000000E+00
    1201  4.47482981E-02  2.34645525E-03  8.88613279E-06  4.62018932E-01  2.21761500E-03  4.32172451E-01 -1.82607753E+00 -1.80392478E+00  0.00000000E+00
    1211  4.48575376E-02  2.35580165E-03  8.92975026E-06  4.63659474E-01  2.21476542E-03  4.33616435E-01 -1.82631807E+00 -1.80415943E+00  0.00000000E+00
    1221  4.48299439E-02  2.35279344E-03  8.91515704E-06  4.63165840E-01  2.21132723E-03  4.42863921E-01 -1.82605036E+00 -1.80387007E+00  0.00000000E+00
    1231  4.48170938E-02  2.35392582E-03  8.93363331E-06  4.62570723E-01  2.22605153E-03  4.44195206E-01 -1.82604565E+00 -1.80384235E+00  0.00000000E+00
    1241  4.47362825E-02  2.34562558E-03  8.88744452E-06  4.61558816E-01  2.21919765E-03  4.38343498E-01 -1.82591852E+00 -1.80371657E+00  0.00000000E+00
    1251  4.47040339E-02  2.34193168E-03  8.86034018E-06  4.61506210E-01  2.21397940E-03  4.33180740E-01 -1.82578260E+00 -1.80357701E+00  0.00000000E+00
    1261  4.46277893E-02  2.33639369E-03  8.83940041E-06  4.60229054E-01  2.22218528E-03  4.30002520E-01 -1.82577411E+00 -1.80353586E+00  0.00000000E+00
    1271  4.47000572E-02  2.34522637E-03  8.92485758E-06  4.59108072E-01  2.23750775E-03  4.29789832E-01 -1.82585067E+00 -1.80360838E+00  0.00000000E+00
    1281  4.46716855E-02  2.34043259E-03  8.87444035E-06  4.59958111E-01  2.22295227E-03  4.28650244E-01 -1.82575269E+00 -1.80350535E+00  0.00000000E+00
    1291  4.45743500E-02  2.33232589E-03  8.83592805E-06  4.58557365E-01  2.22669146E-03  4.32853561E-01 -1.82601150E+00 -1.80375887E+00  0.00000000E+00
    1301  4.44806161E-02  2.32645634E-03  8.82010738E-06  4.56796192E-01  2.24266341E-03  4.30498713E-01 -1.82583906E+00 -1.80356457E+00  0.00000000E+00
    1311  4.44372200E-02  2.32183322E-03  8.78107072E-06  4.57044574E-01  2.23773614E-03  4.27459774E-01 -1.82591433E+00 -1.80363662E+00  0.00000000E+00
    1321  4.43129713E-02  2.31037706E-03  8.71438054E-06  4.55811277E-01  2.23497053E-03  4.29914144E-01 -1.82584028E+00 -1.80354186E+00  0.00000000E+00
    1331  4.42044584E-02  2.30001407E-03  8.64557557E-06  4.55231897E-01  2.23008655E-03  4.31612923E-01 -1.82538283E+00 -1.80308903E+00  0.00000000E+00
    1341  4.42515048E-02  2.30643393E-03  8.73967322E-06  4.52364111E-01  2.24464309E-03  4.30574693E-01 -1.82516280E+00 -1.80287641E+00  0.00000000E+00
    1351  4.43452288E-02  2.31387090E-03  8.77192595E-06  4.53870732E-01  2.23905681E-03  4.45913530E-01 -1.82533874E+00 -1.80307168E+00  0.00000000E+00
    1361  4.47809318E-02  2.36993269E-03  9.46752707E-06  4.38120385E-01  2.35011157E-03  4.48910365E-01 -1.82527356E+00 -1.80299951E+00  0.00000000E+00
    1371  4.47917424E-02  2.36747104E-03  9.41443448E-06  4.40108813E-01  2.32800288E-03  4.46279394E-01 -1.82522526E+00 -1.80296527E+00  0.00000000E+00
    1381  4.47760066E-02  2.36514572E-03  9.37761593E-06  4.41201307E-01  2.32209923E-03  4.41573147E-01 -1.82525675E+00 -1.80298835E+00  0.00000000E+00
    1391  4.49425223E-02  2.38159092E-03  9.47541941E-06  4.43144060E-01  2.33180425E-03  4.40942349E-01 -1.82537495E+00 -1.80312539E+00  0.00000000E+00
    1401  4.47918124E-02  2.36522620E-03  9.36585502E-06  4.41940106E-01  2.31349285E-03  4.40930543E-01 -1.82507832E+00 -1.80285534E+00  0.00000000E+00
    1411  4.47741018E-02  2.36249596E-03  9.33753920E-06  4.42340591E-01  2.30611917E-03  4.47493111E-01 -1.82525483E+00 -1.80304951E+00  0.00000000E+00
    1421  4.48005030E-02  2.37247859E-03  9.57243714E-06  4.33112780E-01  2.35522093E-03  4.48877928E-01 -1.82519684E+00 -1.80297575E+00  0.00000000E+00
    1431  4.48274076E-02  2.37326461E-03  9.56036772E-06  4.34202510E-01  2.34474419E-03  4.44983421E-01 -1.82532400E+00 -1.80311611E+00  0.00000000E+00
    1441  4.49269378E-02  2.38025563E-03  9.56692196E-06  4.37135609E-01  2.33222504E-03  4.47820972E-01 -1.82552343E+00 -1.80330029E+00  0.00000000E+00
    1451  4.50187007E-02  2.39146106E-03  9.69425470E-06  4.34976457E-01  2.35125122E-03  4.50616128E-01 -1.82569545E+00 -1.80347445E+00  0.00000000E+00
    1461  4.51151128E-02  2.40471107E-03  9.82226636E-06  4.33806802E-01  2.38064380E-03  4.49071824E-01 -1.82589002E+00 -1.80368884E+00  0.00000000E+00
    1471  4.51136672E-02  2.40595083E-03  9.85019409E-06  4.32781953E-01  2.38947567E-03  4.47427943E-01 -1.82612485E+00 -1.80394597E+00  0.00000000E+00
    1481  4.49481421E-02  2.39201008E-03  9.77495807E-06  4.30534214E-01  2.39570703E-03  4.43864014E-01 -1.82608799E+00 -1.80392085E+00  0.00000000E+00
    1491  4.48743456E-02  2.38383023E-03  9.70694247E-06  4.30609054E-01  2.38570796E-03  4.41564015E-01 -1.82618980E+00 -1.80403314E+00  0.00000000E+00
    1501  4.48031900E-02  2.37745572E-03  9.66358667E-06  4.30108451E-01  2.38575022E-03  4.38447664E-01 -1.82598990E+00 -1.80383281E+00  0.00000000E+00
    1511  4.48441254E-02  2.38077170E-03  9.67175411E-06  4.31214536E-01  2.38346991E-03  4.41129218E-01 -1.82631155E+00 -1.80415471E+00  0.00000000E+00
    1521  4.47343585E-02  2.37022479E-03  9.59525438E-06  4.30680361E-01  2.37886670E-03  4.37180666E-01 -1.82626526E+00 -1.80410085E+00  0.00000000E+00
    1531  4.48102809E-02  2.37822461E-03  9.65711449E-06  4.30858324E-01  2.38661038E-03  4.36186749E-01 -1.82649011E+00 -1.80432318E+00  0.00000000E+00
    1541  4.47540261E-02  2.37189800E-03  9.60216401E-06  4.31073914E-01  2.37830708E-03  4.33309693E-01 -1.82668523E+00 -1.80452878E+00  0.00000000E+00
    1551  4.48125755E-02  2.37454098E-03  9.58135191E-06  4.33570062E-01  2.36154118E-03  4.30633286E-01 -1.82674585E+00 -1.80459739E+00  0.00000000E+00
    1561  4.47512310E-02  2.36676087E-03  9.51165531E-06  4.33987415E-01  2.34680723E-03  4.29282711E-01 -1.82650229E+00 -1.80437817E+00  0.00000000E+00
    1571  4.47215601E-02  2.36485768E-03  9.50631797E-06  4.33394139E-01  2.35165147E-03  4.28369921E-01 -1.82652317E+00 -1.80439503E+00  0.00000000E+00
    1581  4.47701355E-02  2.36825581E-03  9.50560734E-06  4.35061211E-01  2.34553468E-03  4.28514749E-01 -1.82645506E+00 -1.80433049E+00  0.00000000E+00
