   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
     731  2.90611625E-02  9.91203963E-04  1.60521329E-06  4.55390223E-01  1.69394447E-02  7.93856715E-01 -3.21244520E-01 -3.18547734E-01  0.00000000E+00
     741  2.92009458E-02  1.00146954E-03  1.63870764E-06  4.55366022E-01  1.71844943E-02  7.82445012E-01 -3.21186699E-01 -3.18488054E-01  0.00000000E+00
     751  2.90063446E-02  9.90522488E-04  1.61126157E-06  4.52585730E-01  1.72284047E-02  7.73127689E-01 -3.21138655E-01 -3.18442415E-01  0.00000000E+00
     761  2.90159415E-02  9.93013067E-04  1.61951838E-06  4.52537094E-01  1.74517664E-02  7.80373241E-01 -3.21103281E-01 -3.18401775E-01  0.00000000E+00
     771  2.91375165E-02  9.99692584E-04  1.63061487E-06  4.56127373E-01  1.74066620E-02  7.78817641E-01 -3.21159978E-01 -3.18458024E-01  0.00000000E+00
     781  2.91724474E-02  1.00022305E-03  1.62155111E-06  4.59724004E-01  1.72326667E-02  7.72935613E-01 -3.21190782E-01 -3.18486074E-01  0.00000000E+00
     791  2.91684899E-02  9.98622220E-04  1.60960087E-06  4.61984867E-01  1.70744289E-02  7.71566249E-01 -3.21192055E-01 -3.18487969E-01  0.00000000E+00
     801  2.92279766E-02  1.00134453E-03  1.61308454E-06  4.63748142E-01  1.69876251E-02  7.69119963E-01 -3.21143300E-01 -3.18441366E-01  0.00000000E+00
     811  2.94850834E-02  1.02173933E-03  1.70350683E-06  4.56070767E-01  1.75997289E-02  8.04273890E-01 -3.21208610E-01 -3.18505052E-01  0.00000000E+00
     821  2.96687510E-02  1.03134645E-03  1.71704419E-06  4.61914783E-01  1.74544756E-02  7.99583595E-01 -3.21198954E-01 -3.18495980E-01  0.00000000E+00
     831  2.95575118E-02  1.02513755E-03  1.70320086E-06  4.59767972E-01  1.74982977E-02  7.93341387E-01 -3.21173677E-01 -3.18469810E-01  0.00000000E+00
     841  2.96697104E-02  1.03007049E-03  1.70665013E-06  4.63846242E-01  1.73005171E-02  7.88691939E-01 -3.21216925E-01 -3.18513949E-01  0.00000000E+00
     851  2.96420739E-02  1.03159605E-03  1.72003224E-06  4.61239191E-01  1.76660662E-02  7.94584340E-01 -3.21244500E-01 -3.18540730E-01  0.00000000E+00
     861  2.95221415E-02  1.02283226E-03  1.69293654E-06  4.60600441E-01  1.74733909E-02  7.95073939E-01 -3.21209430E-01 -3.18508308E-01  0.00000000E+00
     871  2.93559472E-02  1.01195096E-03  1.66347098E-06  4.58529202E-01  1.73467837E-02  7.99738748E-01 -3.21167046E-01 -3.18466636E-01  0.00000000E+00
     881  2.97082221E-02  1.03933804E-03  1.78320122E-06  4.49743154E-01  1.81068499E-02  8.00661253E-01 -3.21184323E-01 -3.18485089E-01  0.00000000E+00
     891  2.96533434E-02  1.03436211E-03  1.76326248E-06  4.50648257E-01  1.79083809E-02  7.93453909E-01 -3.21214913E-01 -3.18513688E-01  0.00000000E+00
     901  2.95312635E-02  1.02583568E-03  1.73642756E-06  4.49978307E-01  1.77580849E-02  7.87204048E-01 -3.21191774E-01 -3.18491908E-01  0.00000000E+00
     911  2.95098536E-02  1.02446796E-03  1.73368701E-06  4.49379121E-01  1.77461126E-02  7.80286323E-01 -3.21208770E-01 -3.18507055E-01  0.00000000E+00
     921  2.95066933E-02  1.02293785E-03  1.72480236E-06  4.50560869E-01  1.75909168E-02  7.87804688E-01 -3.21233302E-01 -3.18533971E-01  0.00000000E+00
     931  2.96180175E-02  1.02987792E-03  1.74056529E-06  4.52987094E-01  1.76322749E-02  7.77665679E-01 -3.21263775E-01 -3.18567421E-01  0.00000000E+00
     941  2.95338854E-02  1.02306516E-03  1.71753007E-06  4.53013634E-01  1.74201829E-02  7.75235926E-01 -3.21232150E-01 -3.18538567E-01  0.00000000E+00
     951  2.93978996E-02  1.01487773E-03  1.69641916E-06  4.50984676E-01  1.74001375E-02  7.72607863E-01 -3.21216132E-01 -3.18525393E-01  0.00000000E+00
     961  2.92519546E-02  1.00774225E-03  1.67825873E-06  4.49143191E-01  1.75646397E-02  7.74458001E-01 -3.21196559E-01 -3.18503584E-01  0.00000000E+00
     971  2.93878241E-02  1.01601300E-03  1.69801466E-06  4.51695704E-01  1.75996836E-02  7.71069339E-01 -3.21243909E-01 -3.18553772E-01  0.00000000E+00
     981  2.92880144E-02  1.00914991E-03  1.67752144E-06  4.50920223E-01  1.74834064E-02  7.79535935E-01 -3.21237525E-01 -3.18545165E-01  0.00000000E+00
     991  2.93453371E-02  1.01182856E-03  1.67878975E-06  4.53410624E-01  1.74045869E-02  7.79368309E-01 -3.21233649E-01 -3.18543155E-01  0.00000000E+00
    1001  2.95293102E-02  1.02570883E-03  1.72838223E-06  4.52391286E-01  1.77567581E-02  7.78630185E-01 -3.21235930E-01 -3.18549365E-01  0.00000000E+00
    1011  2.94353291E-02  1.01882193E-03  1.70683318E-06  4.51883022E-01  1.76013619E-02  7.74227929E-01 -3.21204271E-01 -3.18518536E-01  0.00000000E+00
    1021  2.93711139E-02  1.01303381E-03  1.68615827E-06  4.52317077E-01  1.73689798E-02  7.95311740E-01 -3.21137517E-01 -3.18450489E-01  0.00000000E+00
    1031  2.94104607E-02  1.01512756E-03  1.68714538E-06  4.54254691E-01  1.73436697E-02  7.93122898E-01 -3.21130188E-01 -3.18442156E-01  0.00000000E+00
    1041  2.95173857E-02  1.02120632E-03  1.70258651E-06  4.55796979E-01  1.73180148E-02  7.89142880E-01 -3.21121041E-01 -3.18434084E-01  0.00000000E+00
    1051  2.95406795E-02  1.02107378E-03  1.69446237E-06  4.58253113E-01  1.71438048E-02  7.94227900E-01 -3.21111805E-01 -3.18424687E-01  0.00000000E+00
    1061  2.96237391E-02  1.02482229E-03  1.69616685E-06  4.61668012E-01  1.70091627E-02  7.87121229E-01 -3.21128253E-01 -3.18443308E-01  0.00000000E+00
