#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
     83 -0.350000 -0.250000 -0.450000        1    1.62953379E-09  4.64722867E-09  1.48111206E-09  5.14254874E-09
     84 -0.300000 -0.250000 -0.450000        1    1.18161879E-09  1.03894540E-08  5.47189678E-11  1.04565755E-08
     85 -0.250000 -0.250000 -0.450000        1    2.54691803E-10  1.72633882E-09  7.55908602E-11  1.74666185E-09
     86 -0.200000 -0.250000 -0.450000        1    1.04723620E-08  5.06810314E-09  8.09899508E-09  1.41756748E-08
     87 -0.150000 -0.250000 -0.450000        1    1.79512826E-08  3.22980508E-09  5.45774146E-09  1.90385695E-08
     88 -0.100000 -0.250000 -0.450000        1    4.79135816E-09  3.94926775E-09  1.43051789E-10  6.21082061E-09
     89 -0.050000 -0.250000 -0.450000        1    3.56025977E-09  1.02018843E-08  1.83912173E-10  1.08068366E-08
     90  0.000000 -0.250000 -0.450000        1    6.40783532E-10  1.81903663E-10  6.98144326E-11  6.69751097E-10
     91  0.050000 -0.250000 -0.450000        1    4.34279397E-09  4.20455683E-09  8.42111513E-10  6.10305738E-09
     92  0.100000 -0.250000 -0.450000        1    1.02738578E-09  4.54170201E-09  3.27637577E-10  4.66796798E-09
     93  0.150000 -0.250000 -0.450000        1    5.11673733E-10  1.26407273E-08  5.21954124E-09  1.36855182E-08
     94  0.200000 -0.250000 -0.450000        1    1.37869000E-10  9.56910941E-11  6.33282370E-09  6.33504701E-09
     95  0.250000 -0.250000 -0.450000        1    2.29565216E-09  7.54169340E-09  2.45946054E-09  8.25809326E-09
     96  0.300000 -0.250000 -0.450000        1    7.48420162E-10  3.24238519E-09  3.01009593E-09  4.48707833E-09
     97  0.350000 -0.250000 -0.450000        1    9.17049016E-09  1.04220827E-08  2.38723212E-09  1.40860418E-08
     98  0.400000 -0.250000 -0.450000        1    1.00376744E-09  2.52590366E-09  1.10695817E-08  1.13983936E-08
     99  0.450000 -0.250000 -0.450000        1    2.01237585E-09  1.14884929E-09  3.12383294E-09  3.88945285E-09
    100  0.500000 -0.250000 -0.450000        1    2.98985903E-09  1.14239984E-10  1.12527487E-09  3.19664689E-09
    101 -0.450000 -0.200000 -0.450000        1    8.40295754E-09  6.08976769E-10  1.98550297E-09  8.65579403E-09
    102 -0.400000 -0.200000 -0.450000        1    1.25159358E-09  1.32281278E-09  1.88599004E-10  1.83081669E-09
    103 -0.350000 -0.200000 -0.450000        1    1.04507305E-09  6.35006336E-09  9.62114190E-10  6.50700746E-09
    104 -0.300000 -0.200000 -0.450000        1    1.62186892E-10  2.51771635E-09  3.12813912E-09  4.01876281E-09
    105 -0.250000 -0.200000 -0.450000        1    3.04278574E-09  2.08568697E-10  2.56432887E-10  3.06068682E-09
    106 -0.200000 -0.200000 -0.450000        1    1.10665660E-09  1.82997569E-09  4.52763839E-09  5.00729560E-09
    107 -0.150000 -0.200000 -0.450000        1    7.00237071E-09  1.90618255E-09  8.97870525E-09  1.15448636E-08
    108 -0.100000 -0.200000 -0.450000        1    1.36675344E-09  2.65044887E-10  1.70476916E-09  2.20102286E-09
    109 -0.050000 -0.200000 -0.450000        1    4.04445250E-09  1.07117968E-09  9.46219763E-09  1.03459270E-08
    110  0.000000 -0.200000 -0.450000        1    4.56905683E-11  2.83762493E-09  2.89918182E-09  4.05702577E-09
    111  0.050000 -0.200000 -0.450000        1    7.97023097E-10  2.82632855E-09  9.96037003E-09  1.03842356E-08
    112  0.100000 -0.200000 -0.450000        1    5.23466709E-10  7.80071779E-10  2.11648624E-09  2.31560864E-09
    113  0.150000 -0.200000 -0.450000        1    1.60890287E-09  2.66350103E-09  9.59868395E-10  3.25640193E-09
    114  0.200000 -0.200000 -0.450000        1    1.43710451E-09  6.38946414E-10  3.54705653E-09  3.88009432E-09
    115  0.250000 -0.200000 -0.450000        1    2.41516098E-09  9.18824014E-10  1.72932494E-09  3.10930939E-09
    116  0.300000 -0.200000 -0.450000        1    1.43984064E-08  2.67271343E-09  3.48858807E-09  1.50541606E-08
    117  0.350000 -0.200000 -0.450000        1    5.10986593E-09  7.58582410E-10  4.43420102E-09  6.80795974E-09
    118  0.400000 -0.200000 -0.450000        1    1.05545460E-08  1.85368345E-10  1.14408234E-09  1.06179908E-08
    119  0.450000 -0.200000 -0.450000        1    1.53344664E-09  1.26877595E-09  8.25725766E-09  8.49373623E-09
    120  0.500000 -0.200000 -0.450000        1    5.32419610E-09  3.76476473E-09  1.38686414E-09  6.66662657E-09
    121 -0.450000 -0.150000 -0.450000        1    7.00573871E-10  3.09854814E-09  4.73348036E-09  5.70067019E-09
    122 -0.400000 -0.150000 -0.450000        1    3.12971800E-09  2.19405113E-10  2.01996497E-09  3.73142490E-09
    123 -0.350000 -0.150000 -0.450000        1    1.37917408E-10  1.43932032E-10  1.18842847E-09  1.20503106E-09
    124 -0.300000 -0.150000 -0.450000        1    1.34775737E-09  6.26770549E-09  4.20535712E-09  7.66717748E-09
    125 -0.250000 -0.150000 -0.450000        1    1.77595404E-08  1.28043132E-09  1.73627936E-08  2.48698086E-08
    126 -0.200000 -0.150000 -0.450000        1    8.61497944E-09  9.57867887E-09  2.25660057E-09  1.30790369E-08
    127 -0.150000 -0.150000 -0.450000        1    1.59786791E-10  3.03638711E-09  1.97041781E-09  3.62322023E-09
    128 -0.100000 -0.150000 -0.450000        1    1.54611514E-09  8.21469530E-10  2.39699265E-09  2.96830895E-09
    129 -0.050000 -0.150000 -0.450000        1    7.86154575E-10  2.33274114E-09  3.85936477E-09  4.57759944E-09
    130  0.000000 -0.150000 -0.450000        1    1.26624269E-08  3.55710254E-09  5.76856596E-09  1.43619771E-08
    131  0.050000 -0.150000 -0.450000        1    1.85630860E-09  9.34718641E-11  1.87528833E-09  2.64032667E-09
    132  0.100000 -0.150000 -0.450000        1    4.76406364E-09  1.28328569E-08  3.47748645E-10  1.36930437E-08
    133  0.150000 -0.150000 -0.450000        1    1.28483214E-08  2.16227300E-09  1.48449591E-10  1.30298436E-08
    134  0.200000 -0.150000 -0.450000        1    6.94136594E-10  3.93299136E-09  3.89978438E-09  5.58198574E-09
    135  0.250000 -0.150000 -0.450000        1    2.55908581E-10  5.91098944E-09  4.89314347E-09  7.67776910E-09
    136  0.300000 -0.150000 -0.450000        1    1.53397258E-09  1.06512014E-09  1.16569587E-09  2.20145399E-09
    137  0.350000 -0.150000 -0.450000        1    5.07188847E-09  1.47973446E-09  5.37444711E-10  5.31060388E-09
    138  0.400000 -0.150000 -0.450000        1    1.54794912E-09  6.24381700E-10  2.85558492E-11  1.66937546E-09
    139  0.450000 -0.150000 -0.450000        1    1.79608164E-09  8.16907993E-09  6.55054464E-10  8.38980766E-09
    140  0.500000 -0.150000 -0.450000        1    3.80850211E-09  6.60133463E-10  8.73477434E-10  3.96275502E-09
    141 -0.450000 -0.100000 -0.450000        1    1.66618603E-09  7.59145499E-09  1.17825667E-09  7.86095755E-09
    142 -0.400000 -0.100000 -0.450000        1    2.98979525E-09  5.73005647E-10  6.12663351E-10  3.10524838E-09
    143 -0.350000 -0.100000 -0.450000        1    2.45123293E-11  1.80853946E-09  1.49356476E-10  1.81486176E-09
    144 -0.300000 -0.100000 -0.450000        1    3.22041944E-09  1.20656664E-09  1.05501813E-08  1.10965413E-08
