   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
       1  2.42520705E+00  5.88162924E+00  3.45935626E+01  6.66666667E-01 -4.55995242E-37  0.00000000E+00 -5.54873016E+00 -5.31073153E+00  0.00000000E+00
     671  2.57806361E+00  6.64641237E+00  4.41748072E+01  6.66666593E-01  2.36888196E-26  0.00000000E+00 -6.17616608E+00 -5.89405545E+00  0.00000000E+00
     681  2.57805722E+00  6.64637940E+00  4.41743687E+01  6.66666595E-01  2.30835745E-26  0.00000000E+00 -6.17616646E+00 -5.89405594E+00  0.00000000E+00
     691  2.57805097E+00  6.64634715E+00  4.41739398E+01  6.66666596E-01  2.25031460E-26  0.00000000E+00 -6.17616683E+00 -5.89405642E+00  0.00000000E+00
     701  2.57804485E+00  6.64631561E+00  4.41735202E+01  6.66666598E-01  2.19461493E-26  0.00000000E+00 -6.17616718E+00 -5.89405687E+00  0.00000000E+00
     711  2.57803887E+00  6.64628474E+00  4.41731097E+01  6.66666600E-01  2.14112958E-26  0.00000000E+00 -6.17616752E+00 -5.89405731E+00  0.00000000E+00
     721  2.57803301E+00  6.64625453E+00  4.41727079E+01  6.66666601E-01  2.08973859E-26  0.00000000E+00 -6.17616785E+00 -5.89405774E+00  0.00000000E+00
     731  2.57802728E+00  6.64622496E+00  4.41723147E+01  6.66666603E-01  2.04033020E-26  0.00000000E+00 -6.17616816E+00 -5.89405816E+00  0.00000000E+00
     741  2.57802166E+00  6.64619601E+00  4.41719297E+01  6.66666604E-01  1.99279991E-26  0.00000000E+00 -6.17616846E+00 -5.89405856E+00  0.00000000E+00
     751  2.57801616E+00  6.64616766E+00  4.41715526E+01  6.66666606E-01  1.94705032E-26  0.00000000E+00 -6.17616875E+00 -5.89405895E+00  0.00000000E+00
     761  2.57801078E+00  6.64613989E+00  4.41711833E+01  6.66666607E-01  1.90299022E-26  0.00000000E+00 -6.17616904E+00 -5.89405933E+00  0.00000000E+00
     771  2.57800551E+00  6.64611269E+00  4.41708215E+01  6.66666608E-01  1.86053437E-26  0.00000000E+00 -6.17616931E+00 -5.89405970E+00  0.00000000E+00
     781  2.57800034E+00  6.64608603E+00  4.41704671E+01  6.66666610E-01  1.81960283E-26  0.00000000E+00 -6.17616957E+00 -5.89406005E+00  0.00000000E+00
     791  2.57799527E+00  6.64605991E+00  4.41701197E+01  6.66666611E-01  1.78012072E-26  0.00000000E+00 -6.17616982E+00 -5.89406040E+00  0.00000000E+00
     801  2.57799031E+00  6.64603430E+00  4.41697791E+01  6.66666612E-01  1.74201775E-26  0.00000000E+00 -6.17617007E+00 -5.89406074E+00  0.00000000E+00
     811  2.57798544E+00  6.64600920E+00  4.41694453E+01  6.66666613E-01  1.70522786E-26  0.00000000E+00 -6.17617031E+00 -5.89406107E+00  0.00000000E+00
     821  2.57798067E+00  6.64598458E+00  4.41691180E+01  6.66666614E-01  1.66968911E-26  0.00000000E+00 -6.17617054E+00 -5.89406139E+00  0.00000000E+00
     831  2.57797598E+00  6.64596044E+00  4.41687969E+01  6.66666615E-01  1.63534311E-26  0.00000000E+00 -6.17617076E+00 -5.89406170E+00  0.00000000E+00
     841  2.57797139E+00  6.64593676E+00  4.41684820E+01  6.66666617E-01  1.60213489E-26  0.00000000E+00 -6.17617097E+00 -5.89406200E+00  0.00000000E+00
     851  2.57796689E+00  6.64591353E+00  4.41681731E+01  6.66666618E-01  1.57001276E-26  0.00000000E+00 -6.17617118E+00 -5.89406229E+00  0.00000000E+00
     861  2.57796247E+00  6.64589073E+00  4.41678700E+01  6.66666618E-01  1.53892791E-26  0.00000000E+00 -6.17617138E+00 -5.89406258E+00  0.00000000E+00
     871  2.57795813E+00  6.64586836E+00  4.41675725E+01  6.66666619E-01  1.50883431E-26  0.00000000E+00 -6.17617158E+00 -5.89406286E+00  0.00000000E+00
     881  2.57795387E+00  6.64584640E+00  4.41672805E+01  6.66666620E-01  1.47968849E-26  0.00000000E+00 -6.17617177E+00 -5.89406313E+00  0.00000000E+00
     891  2.57794969E+00  6.64582485E+00  4.41669939E+01  6.66666621E-01  1.45144944E-26  0.00000000E+00 -6.17617195E+00 -5.89406340E+00  0.00000000E+00
     901  2.57794559E+00  6.64580368E+00  4.41667125E+01  6.66666622E-01  1.42407829E-26  0.00000000E+00 -6.17617213E+00 -5.89406366E+00  0.00000000E+00
     911  2.57794156E+00  6.64578290E+00  4.41664361E+01  6.66666623E-01  1.39753836E-26  0.00000000E+00 -6.17617231E+00 -5.89406391E+00  0.00000000E+00
     921  2.57793760E+00  6.64576249E+00  4.41661647E+01  6.66666624E-01  1.37179491E-26  0.00000000E+00 -6.17617247E+00 -5.89406416E+00  0.00000000E+00
     931  2.57793371E+00  6.64574244E+00  4.41658981E+01  6.66666624E-01  1.34681499E-26  0.00000000E+00 -6.17617264E+00 -5.89406440E+00  0.00000000E+00
     941  2.57792989E+00  6.64572274E+00  4.41656362E+01  6.66666625E-01  1.32256732E-26  0.00000000E+00 -6.17617280E+00 -5.89406464E+00  0.00000000E+00
     951  2.57792614E+00  6.64570338E+00  4.41653789E+01  6.66666626E-01  1.29902243E-26  0.00000000E+00 -6.17617295E+00 -5.89406487E+00  0.00000000E+00
     961  2.57792245E+00  6.64568437E+00  4.41651260E+01  6.66666627E-01  1.27615218E-26  0.00000000E+00 -6.17617310E+00 -5.89406509E+00  0.00000000E+00
     971  2.57791883E+00  6.64566568E+00  4.41648775E+01  6.66666627E-01  1.25392986E-26  0.00000000E+00 -6.17617325E+00 -5.89406531E+00  0.00000000E+00
     981  2.57791526E+00  6.64564730E+00  4.41646332E+01  6.66666628E-01  1.23233019E-26  0.00000000E+00 -6.17617340E+00 -5.89406553E+00  0.00000000E+00
     991  2.57791176E+00  6.64562924E+00  4.41643930E+01  6.66666629E-01  1.21132908E-26  0.00000000E+00 -6.17617353E+00 -5.89406574E+00  0.00000000E+00
    1001  2.57790832E+00  6.64561148E+00  4.41641569E+01  6.66666629E-01  1.19090363E-26  0.00000000E+00 -6.17617367E+00 -5.89406594E+00  0.00000000E+00
    1011  2.57790493E+00  6.64559402E+00  4.41639247E+01  6.66666630E-01  1.17103195E-26  0.00000000E+00 -6.17617380E+00 -5.89406614E+00  0.00000000E+00
    1021  2.57790160E+00  6.64557685E+00  4.41636964E+01  6.66666631E-01  1.15169337E-26  0.00000000E+00 -6.17617393E+00 -5.89406634E+00  0.00000000E+00
    1031  2.57789833E+00  6.64555996E+00  4.41634718E+01  6.66666631E-01  1.13286807E-26  0.00000000E+00 -6.17617406E+00 -5.89406653E+00  0.00000000E+00
    1041  2.57789510E+00  6.64554334E+00  4.41632509E+01  6.66666632E-01  1.11453726E-26  0.00000000E+00 -6.17617418E+00 -5.89406672E+00  0.00000000E+00
    1051  2.57789193E+00  6.64552700E+00  4.41630336E+01  6.66666632E-01  1.09668296E-26  0.00000000E+00 -6.17617430E+00 -5.89406691E+00  0.00000000E+00
    1061  2.57788881E+00  6.64551091E+00  4.41628198E+01  6.66666633E-01  1.07928804E-26  0.00000000E+00 -6.17617442E+00 -5.89406709E+00  0.00000000E+00
    1071  2.57788575E+00  6.64549509E+00  4.41626094E+01  6.66666633E-01  1.06233609E-26  0.00000000E+00 -6.17617453E+00 -5.89406727E+00  0.00000000E+00
    1081  2.57788273E+00  6.64547951E+00  4.41624023E+01  6.66666634E-01  1.04581153E-26  0.00000000E+00 -6.17617465E+00 -5.89406744E+00  0.00000000E+00
    1091  2.57787975E+00  6.64546419E+00  4.41621985E+01  6.66666634E-01  1.02969942E-26  0.00000000E+00 -6.17617475E+00 -5.89406761E+00  0.00000000E+00
    1101  2.57787683E+00  6.64544910E+00  4.41619979E+01  6.66666635E-01  1.01398554E-26  0.00000000E+00 -6.17617486E+00 -5.89406778E+00  0.00000000E+00
    1111  2.57787395E+00  6.64543424E+00  4.41618004E+01  6.66666635E-01  9.98656185E-27  0.00000000E+00 -6.17617497E+00 -5.89406795E+00  0.00000000E+00
    1121  2.57787111E+00  6.64541962E+00  4.41616060E+01  6.66666636E-01  9.83698300E-27  0.00000000E+00 -6.17617507E+00 -5.89406811E+00  0.00000000E+00
    1131  2.57786832E+00  6.64540522E+00  4.41614146E+01  6.66666636E-01  9.69099452E-27  0.00000000E+00 -6.17617517E+00 -5.89406826E+00  0.00000000E+00
    1141  2.57786557E+00  6.64539104E+00  4.41612260E+01  6.66666637E-01  9.54847654E-27  0.00000000E+00 -6.17617527E+00 -5.89406842E+00  0.00000000E+00
    1151  2.57786286E+00  6.64537708E+00  4.41610404E+01  6.66666637E-01  9.40931502E-27  0.00000000E+00 -6.17617536E+00 -5.89406857E+00  0.00000000E+00
    1161  2.57786019E+00  6.64536332E+00  4.41608575E+01  6.66666638E-01  9.27339969E-27  0.00000000E+00 -6.17617546E+00 -5.89406872E+00  0.00000000E+00
    1171  2.57785757E+00  6.64534977E+00  4.41606774E+01  6.66666638E-01  9.14062548E-27  0.00000000E+00 -6.17617555E+00 -5.89406887E+00  0.00000000E+00
    1181  2.57785498E+00  6.64533643E+00  4.41605000E+01  6.66666638E-01  9.01089194E-27  0.00000000E+00 -6.17617564E+00 -5.89406901E+00  0.00000000E+00
    1191  2.57785243E+00  6.64532328E+00  4.41603252E+01  6.66666639E-01  8.88410197E-27  0.00000000E+00 -6.17617572E+00 -5.89406915E+00  0.00000000E+00
    1201  2.57784991E+00  6.64531032E+00  4.41601529E+01  6.66666639E-01  8.76016291E-27  0.00000000E+00 -6.17617581E+00 -5.89406929E+00  0.00000000E+00
    1211  2.57784744E+00  6.64529756E+00  4.41599832E+01  6.66666640E-01  8.63898552E-27  0.00000000E+00 -6.17617590E+00 -5.89406943E+00  0.00000000E+00
    1221  2.57784500E+00  6.64528498E+00  4.41598160E+01  6.66666640E-01  8.52048442E-27  0.00000000E+00 -6.17617598E+00 -5.89406956E+00  0.00000000E+00
    1231  2.57784259E+00  6.64527258E+00  4.41596511E+01  6.66666640E-01  8.40457745E-27  0.00000000E+00 -6.17617606E+00 -5.89406970E+00  0.00000000E+00
    1241  2.57784022E+00  6.64526036E+00  4.41594887E+01  6.66666641E-01  8.29118534E-27  0.00000000E+00 -6.17617614E+00 -5.89406983E+00  0.00000000E+00
    1251  2.57783789E+00  6.64524831E+00  4.41593285E+01  6.66666641E-01  8.18023248E-27  0.00000000E+00 -6.17617622E+00 -5.89406995E+00  0.00000000E+00
    1261  2.57783559E+00  6.64523644E+00  4.41591707E+01  6.66666641E-01  8.07164515E-27  0.00000000E+00 -6.17617629E+00 -5.89407008E+00  0.00000000E+00
    1271  2.57783332E+00  6.64522473E+00  4.41590150E+01  6.66666642E-01  7.96535374E-27  0.00000000E+00 -6.17617637E+00 -5.89407020E+00  0.00000000E+00
    1281  2.57783108E+00  6.64521319E+00  4.41588616E+01  6.66666642E-01  7.86128995E-27  0.00000000E+00 -6.17617644E+00 -5.89407032E+00  0.00000000E+00
    1291  2.57782887E+00  6.64520181E+00  4.41587103E+01  6.66666642E-01  7.75938981E-27  0.00000000E+00 -6.17617652E+00 -5.89407044E+00  0.00000000E+00
    1301  2.57782669E+00  6.64519059E+00  4.41585611E+01  6.66666643E-01  7.65958985E-27  0.00000000E+00 -6.17617659E+00 -5.89407056E+00  0.00000000E+00
    1311  2.57782455E+00  6.64517952E+00  4.41584140E+01  6.66666643E-01  7.56182962E-27  0.00000000E+00 -6.17617666E+00 -5.89407068E+00  0.00000000E+00
    1321  2.57782243E+00  6.64516861E+00  4.41582689E+01  6.66666643E-01  7.46605149E-27  0.00000000E+00 -6.17617673E+00 -5.89407079E+00  0.00000000E+00
    1331  2.57782034E+00  6.64515784E+00  4.41581258E+01  6.66666643E-01  7.37219881E-27  0.00000000E+00 -6.17617680E+00 -5.89407090E+00  0.00000000E+00
    1341  2.57781828E+00  6.64514722E+00  4.41579847E+01  6.66666644E-01  7.28021773E-27  0.00000000E+00 -6.17617686E+00 -5.89407101E+00  0.00000000E+00
    1351  2.57781625E+00  6.64513675E+00  4.41578454E+01  6.66666644E-01  7.19005669E-27  0.00000000E+00 -6.17617693E+00 -5.89407112E+00  0.00000000E+00
    1361  2.57781425E+00  6.64512642E+00  4.41577081E+01  6.66666644E-01  7.10166460E-27  0.00000000E+00 -6.17617699E+00 -5.89407123E+00  0.00000000E+00
    1371  2.57781227E+00  6.64511623E+00  4.41575726E+01  6.66666645E-01  7.01499333E-27  0.00000000E+00 -6.17617706E+00 -5.89407133E+00  0.00000000E+00
    1381  2.57781032E+00  6.64510617E+00  4.41574389E+01  6.66666645E-01  6.92999611E-27  0.00000000E+00 -6.17617712E+00 -5.89407143E+00  0.00000000E+00
    1391  2.57780840E+00  6.64509625E+00  4.41573070E+01  6.66666645E-01  6.84662736E-27  0.00000000E+00 -6.17617718E+00 -5.89407154E+00  0.00000000E+00
    1401  2.57780650E+00  6.64508645E+00  4.41571768E+01  6.66666645E-01  6.76484385E-27  0.00000000E+00 -6.17617724E+00 -5.89407164E+00  0.00000000E+00
    1411  2.57780463E+00  6.64507679E+00  4.41570484E+01  6.66666646E-01  6.68460310E-27  0.00000000E+00 -6.17617730E+00 -5.89407173E+00  0.00000000E+00
    1421  2.57780278E+00  6.64506726E+00  4.41569216E+01  6.66666646E-01  6.60586439E-27  0.00000000E+00 -6.17617736E+00 -5.89407183E+00  0.00000000E+00
    1431  2.57780095E+00  6.64505785E+00  4.41567965E+01  6.66666646E-01  6.52858850E-27  0.00000000E+00 -6.17617742E+00 -5.89407193E+00  0.00000000E+00
    1441  2.57779915E+00  6.64504856E+00  4.41566731E+01  6.66666646E-01  6.45273755E-27  0.00000000E+00 -6.17617747E+00 -5.89407202E+00  0.00000000E+00
    1451  2.57779737E+00  6.64503939E+00  4.41565512E+01  6.66666647E-01  6.37827422E-27  0.00000000E+00 -6.17617753E+00 -5.89407212E+00  0.00000000E+00
    1461  2.57779562E+00  6.64503034E+00  4.41564309E+01  6.66666647E-01  6.30516336E-27  0.00000000E+00 -6.17617758E+00 -5.89407221E+00  0.00000000E+00
    1471  2.57779388E+00  6.64502141E+00  4.41563122E+01  6.66666647E-01  6.23337055E-27  0.00000000E+00 -6.17617764E+00 -5.89407230E+00  0.00000000E+00
    1481  2.57779217E+00  6.64501260E+00  4.41561950E+01  6.66666647E-01  6.16286235E-27  0.00000000E+00 -6.17617769E+00 -5.89407239E+00  0.00000000E+00
    1491  2.57779049E+00  6.64500389E+00  4.41560793E+01  6.66666647E-01  6.09360643E-27  0.00000000E+00 -6.17617774E+00 -5.89407247E+00  0.00000000E+00
    1501  2.57778882E+00  6.64499530E+00  4.41559650E+01  6.66666648E-01  6.02557142E-27  0.00000000E+00 -6.17617780E+00 -5.89407256E+00  0.00000000E+00
    1511  2.57778717E+00  6.64498681E+00  4.41558522E+01  6.66666648E-01  5.95872756E-27  0.00000000E+00 -6.17617785E+00 -5.89407265E+00  0.00000000E+00
    1521  2.57778555E+00  6.64497843E+00  4.41557409E+01  6.66666648E-01  5.89304485E-27  0.00000000E+00 -6.17617790E+00 -5.89407273E+00  0.00000000E+00
    1531  2.57778395E+00  6.64497016E+00  4.41556309E+01  6.66666648E-01  5.82849555E-27  0.00000000E+00 -6.17617795E+00 -5.89407281E+00  0.00000000E+00
    1541  2.57778236E+00  6.64496199E+00  4.41555223E+01  6.66666649E-01  5.76505191E-27  0.00000000E+00 -6.17617800E+00 -5.89407290E+00  0.00000000E+00
    1551  2.57778080E+00  6.64495393E+00  4.41554151E+01  6.66666649E-01  5.70268705E-27  0.00000000E+00 -6.17617805E+00 -5.89407298E+00  0.00000000E+00
    1561  2.57777925E+00  6.64494596E+00  4.41553092E+01  6.66666649E-01  5.64137566E-27  0.00000000E+00 -6.17617809E+00 -5.89407306E+00  0.00000000E+00
    1571  2.57777773E+00  6.64493810E+00  4.41552046E+01  6.66666649E-01  5.58109257E-27  0.00000000E+00 -6.17617814E+00 -5.89407314E+00  0.00000000E+00
    1581  2.57777622E+00  6.64493033E+00  4.41551014E+01  6.66666649E-01  5.52181318E-27  0.00000000E+00 -6.17617819E+00 -5.89407321E+00  0.00000000E+00
