#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
     75  0.250000 -0.300000 -0.450000        1    3.14990294E-09  3.74877053E-09  3.62108603E-10  4.90981585E-09
     76  0.300000 -0.300000 -0.450000        1    5.09945787E-10  7.54436447E-10  2.60700350E-09  2.76146453E-09
     77  0.350000 -0.300000 -0.450000        1    2.90887824E-09  4.29806375E-09  3.11716331E-09  6.05405911E-09
     78  0.400000 -0.300000 -0.450000        1    8.10797967E-10  7.42947996E-10  1.74998401E-09  2.06683553E-09
     79  0.450000 -0.300000 -0.450000        1    1.66955935E-09  2.73799820E-09  8.62021609E-10  3.32071435E-09
     80  0.500000 -0.300000 -0.450000        1    4.19450729E-09  4.01923630E-09  6.17343318E-09  8.47699410E-09
     81 -0.450000 -0.250000 -0.450000        1    7.68182598E-10  9.57012537E-10  2.21039487E-09  2.52820549E-09
     82 -0.400000 -0.250000 -0.450000        1    7.67611738E-10  3.45083347E-10  1.97491417E-09  2.14676414E-09
     83 -0.350000 -0.250000 -0.450000        1    1.72919955E-09  3.04433287E-09  9.02581589E-11  3.50231927E-09
     84 -0.300000 -0.250000 -0.450000        1    2.38023589E-09  3.63820657E-09  5.85487585E-09  7.29257438E-09
     85 -0.250000 -0.250000 -0.450000        1    1.73195301E-09  4.09699385E-09  6.08167909E-09  7.53470904E-09
     86 -0.200000 -0.250000 -0.450000        1    7.10420560E-10  4.22639168E-09  3.50379964E-09  5.53567484E-09
     87 -0.150000 -0.250000 -0.450000        1    1.10702686E-08  5.57837307E-09  3.40143930E-10  1.24009996E-08
     88 -0.100000 -0.250000 -0.450000        1    1.53255503E-09  3.51350044E-10  4.72363429E-09  4.97844279E-09
     89 -0.050000 -0.250000 -0.450000        1    1.89897647E-09  4.44361791E-09  1.24816434E-10  4.83398706E-09
     90  0.000000 -0.250000 -0.450000        1    5.89393594E-09  7.25823126E-10  2.21963400E-09  6.33972201E-09
     91  0.050000 -0.250000 -0.450000        1    1.37886519E-09  1.82503195E-09  2.96666870E-09  3.74608249E-09
     92  0.100000 -0.250000 -0.450000        1    4.02360170E-11  1.13955520E-08  1.82238309E-09  1.15404205E-08
     93  0.150000 -0.250000 -0.450000        1    1.06055784E-08  1.40665921E-08  2.53521274E-09  1.77981631E-08
     94  0.200000 -0.250000 -0.450000        1    3.74057810E-10  3.37270720E-09  1.35150031E-08  1.39345032E-08
     95  0.250000 -0.250000 -0.450000        1    1.11683121E-10  2.10551366E-09  2.05484357E-09  2.94415404E-09
     96  0.300000 -0.250000 -0.450000        1    3.44112390E-09  3.13222865E-10  6.43222021E-10  3.51470864E-09
     97  0.350000 -0.250000 -0.450000        1    1.79209410E-09  4.32513298E-10  2.11157725E-09  2.80311033E-09
     98  0.400000 -0.250000 -0.450000        1    2.14527329E-11  3.92048811E-09  2.78116651E-09  4.80682581E-09
     99  0.450000 -0.250000 -0.450000        1    9.22647133E-10  3.27315827E-09  9.32988721E-09  9.93033927E-09
    100  0.500000 -0.250000 -0.450000        1    1.59551010E-09  3.66538499E-10  2.57607541E-09  3.05223975E-09
    101 -0.450000 -0.200000 -0.450000        1    1.15179233E-09  2.97655724E-09  8.46402804E-10  3.30195644E-09
    102 -0.400000 -0.200000 -0.450000        1    9.73353015E-10  4.17289073E-09  9.37844949E-10  4.38634087E-09
    103 -0.350000 -0.200000 -0.450000        1    7.12802020E-09  3.14573276E-10  9.40330581E-10  7.19665547E-09
    104 -0.300000 -0.200000 -0.450000        1    2.89158831E-09  3.66803807E-09  1.01146426E-11  4.67074818E-09
    105 -0.250000 -0.200000 -0.450000        1    4.52600063E-09  4.61439228E-10  1.86654684E-09  4.91747953E-09
    106 -0.200000 -0.200000 -0.450000        1    1.14497536E-08  1.46200570E-09  9.26545907E-11  1.15430890E-08
    107 -0.150000 -0.200000 -0.450000        1    6.74209016E-10  5.84465447E-09  1.23744448E-08  1.37018768E-08
    108 -0.100000 -0.200000 -0.450000        1    4.26121487E-09  2.79525860E-10  1.32777415E-09  4.47203210E-09
    109 -0.050000 -0.200000 -0.450000        1    5.67167075E-09  4.32428999E-09  5.33497103E-09  8.90669685E-09
    110  0.000000 -0.200000 -0.450000        1    4.49829462E-09  9.34164054E-09  1.27808292E-10  1.03690519E-08
    111  0.050000 -0.200000 -0.450000        1    5.00757191E-09  3.57211694E-09  4.37936396E-09  7.55080291E-09
    112  0.100000 -0.200000 -0.450000        1    2.47689514E-09  8.43264519E-10  1.52602958E-09  3.02900493E-09
    113  0.150000 -0.200000 -0.450000        1    8.76811237E-09  1.42570945E-09  1.04154865E-09  8.94411904E-09
    114  0.200000 -0.200000 -0.450000        1    5.14102360E-09  1.48699489E-09  2.29228963E-09  5.82201590E-09
    115  0.250000 -0.200000 -0.450000        1    8.13355189E-10  4.30814389E-10  3.25835626E-09  3.38585783E-09
    116  0.300000 -0.200000 -0.450000        1    7.12622518E-09  1.01813092E-09  1.85293471E-09  7.43323905E-09
    117  0.350000 -0.200000 -0.450000        1    4.74107191E-10  2.01252488E-09  2.26957647E-09  3.07018100E-09
    118  0.400000 -0.200000 -0.450000        1    3.11852093E-09  1.04238445E-09  1.61769313E-09  3.66451487E-09
    119  0.450000 -0.200000 -0.450000        1    1.98573647E-09  3.01812312E-09  1.58214568E-09  3.94403365E-09
    120  0.500000 -0.200000 -0.450000        1    3.83029852E-09  5.29976025E-09  4.24246532E-10  6.55275748E-09
    121 -0.450000 -0.150000 -0.450000        1    6.49539791E-10  2.38119005E-09  3.74554732E-09  4.48565410E-09
    122 -0.400000 -0.150000 -0.450000        1    2.07476946E-08  1.87997004E-09  6.94566446E-10  2.08442688E-08
    123 -0.350000 -0.150000 -0.450000        1    1.36331519E-09  2.40442619E-09  5.24607831E-09  5.92969066E-09
    124 -0.300000 -0.150000 -0.450000        1    4.60710864E-09  1.21150436E-09  6.52398871E-09  8.07809517E-09
    125 -0.250000 -0.150000 -0.450000        1    1.94699722E-09  1.26174551E-09  2.39337638E-09  3.33332422E-09
    126 -0.200000 -0.150000 -0.450000        1    5.73673914E-09  4.70972707E-09  2.37750698E-09  7.79385941E-09
    127 -0.150000 -0.150000 -0.450000        1    3.22287281E-09  9.37750491E-09  6.01432595E-09  1.15972680E-08
    128 -0.100000 -0.150000 -0.450000        1    3.98998814E-09  2.25265914E-09  1.02196161E-09  4.69455899E-09
    129 -0.050000 -0.150000 -0.450000        1    1.04148635E-09  1.89061787E-09  3.87870032E-09  4.43885637E-09
    130  0.000000 -0.150000 -0.450000        1    3.37475280E-10  5.53461283E-10  2.74704736E-09  2.82249502E-09
    131  0.050000 -0.150000 -0.450000        1    6.53459794E-10  6.47923840E-10  2.97047776E-09  3.10975130E-09
    132  0.100000 -0.150000 -0.450000        1    1.94649949E-09  3.63754760E-10  2.65909273E-09  3.31541128E-09
    133  0.150000 -0.150000 -0.450000        1    7.92314883E-09  6.48830739E-09  3.31173741E-09  1.07629933E-08
    134  0.200000 -0.150000 -0.450000        1    1.80965234E-09  2.25955287E-09  9.15043537E-09  9.59744175E-09
    135  0.250000 -0.150000 -0.450000        1    4.49156441E-09  2.79399168E-09  2.67068416E-09  5.92563028E-09
    136  0.300000 -0.150000 -0.450000        1    1.74449750E-09  6.59687855E-10  2.52837342E-09  3.14183572E-09
    137  0.350000 -0.150000 -0.450000        1    9.59891547E-10  9.62781891E-10  8.93533719E-09  9.03817413E-09
    138  0.400000 -0.150000 -0.450000        1    6.20615346E-09  5.28646467E-09  2.62545143E-09  8.56481435E-09
    139  0.450000 -0.150000 -0.450000        1    3.85684994E-09  4.34700841E-09  2.52173190E-09  6.33489584E-09
    140  0.500000 -0.150000 -0.450000        1    2.01041649E-09  1.34371696E-09  3.08299106E-09  3.91818627E-09
    141 -0.450000 -0.100000 -0.450000        1    3.79815212E-09  4.61288149E-09  1.19930915E-09  6.09450389E-09
    142 -0.400000 -0.100000 -0.450000        1    2.87335157E-09  1.95955416E-11  2.51734870E-09  3.82015415E-09
    143 -0.350000 -0.100000 -0.450000        1    1.23474745E-08  1.17378695E-09  1.69423033E-09  1.25183193E-08
    144 -0.300000 -0.100000 -0.450000        1    5.30776052E-09  3.13286558E-09  5.01506054E-09  7.94594241E-09
    145 -0.250000 -0.100000 -0.450000        1    4.05981234E-09  5.61567698E-11  2.27017529E-09  4.65176586E-09
    146 -0.200000 -0.100000 -0.450000        1    6.45862859E-09  1.17640486E-09  2.95855055E-09  7.20075225E-09
    147 -0.150000 -0.100000 -0.450000        1    5.84660903E-09  8.44892361E-09  3.67701499E-09  1.09127259E-08
    148 -0.100000 -0.100000 -0.450000        1    1.79909279E-09  2.98223319E-10  6.49868719E-09  6.74971164E-09
    149 -0.050000 -0.100000 -0.450000        1    2.84523642E-09  9.53672943E-09  2.78361043E-09  1.03340730E-08
    150  0.000000 -0.100000 -0.450000        1    9.36567013E-09  4.32497479E-09  8.88220343E-09  1.36130350E-08
    151  0.050000 -0.100000 -0.450000        1    1.61147926E-09  4.77772468E-09  3.49775871E-09  6.13659796E-09
    152  0.100000 -0.100000 -0.450000        1    3.33717598E-09  1.65306539E-10  2.19079741E-09  3.99545530E-09
    153  0.150000 -0.100000 -0.450000        1    2.66680368E-10  7.10082186E-09  8.63073901E-09  1.11795548E-08
    154  0.200000 -0.100000 -0.450000        1    8.65656365E-09  8.55300563E-10  5.84946135E-09  1.04825489E-08
    155  0.250000 -0.100000 -0.450000        1    6.15501884E-10  7.14920078E-10  2.69626699E-10  9.81148227E-10
    156  0.300000 -0.100000 -0.450000        1    1.25925434E-09  7.97808753E-10  4.74899143E-09  4.97746320E-09
    157  0.350000 -0.100000 -0.450000        1    1.49784766E-09  7.88692894E-10  1.70895246E-09  2.40543190E-09
    158  0.400000 -0.100000 -0.450000        1    3.84755538E-09  5.94429627E-09  6.36333617E-10  7.10937838E-09
    159  0.450000 -0.100000 -0.450000        1    7.94040087E-10  7.48575948E-09  2.03891500E-09  7.79899154E-09
    160  0.500000 -0.100000 -0.450000        1    1.08242873E-10  1.85796462E-09  1.54431489E-09  2.41839978E-09
    161 -0.450000 -0.050000 -0.450000        1    1.70811503E-08  2.10575918E-09  1.68520972E-09  1.72927687E-08
    162 -0.400000 -0.050000 -0.450000        1    4.99953895E-10  5.88955256E-10  3.45751726E-10  8.46384338E-10
    163 -0.350000 -0.050000 -0.450000        1    1.68316256E-10  5.50850553E-10  6.92386621E-09  6.94778310E-09
    164 -0.300000 -0.050000 -0.450000        1    2.31816534E-09  2.14421170E-08  3.14088420E-11  2.15670874E-08
    165 -0.250000 -0.050000 -0.450000        1    1.15553715E-09  4.55387697E-10  9.50172525E-10  1.56380047E-09
    166 -0.200000 -0.050000 -0.450000        1    1.04274693E-08  4.82268694E-09  3.44893060E-09  1.19952302E-08
    167 -0.150000 -0.050000 -0.450000        1    6.33237750E-09  3.91295625E-09  1.66175741E-09  7.62703541E-09
    168 -0.100000 -0.050000 -0.450000        1    1.92484190E-09  3.86228536E-10  3.11458681E-10  1.98776138E-09
    169 -0.050000 -0.050000 -0.450000        1    2.14341639E-09  2.25672231E-09  1.48657391E-09  3.44919286E-09
    170  0.000000 -0.050000 -0.450000        1    3.96762427E-09  4.64029392E-09  9.05887512E-10  6.17211489E-09
    171  0.050000 -0.050000 -0.450000        1    3.57909479E-09  1.02449893E-09  3.86392783E-09  5.36558066E-09
    172  0.100000 -0.050000 -0.450000        1    2.78446749E-09  1.13532365E-08  1.47523603E-08  1.88223636E-08
    173  0.150000 -0.050000 -0.450000        1    7.72557844E-09  1.52053610E-08  1.10548503E-09  1.70912159E-08
    174  0.200000 -0.050000 -0.450000        1    1.89918477E-09  7.18306539E-09  1.09063067E-09  7.50951440E-09
    175  0.250000 -0.050000 -0.450000        1    4.78739540E-10  3.11511494E-10  1.81382654E-10  5.99275083E-10
    176  0.300000 -0.050000 -0.450000        1    8.48788982E-10  7.64410894E-11  2.63381433E-10  8.91995378E-10
    177  0.350000 -0.050000 -0.450000        1    2.19686679E-09  3.06559493E-09  1.11638012E-09  3.93324300E-09
    178  0.400000 -0.050000 -0.450000        1    5.66255616E-09  9.23446548E-10  3.02033272E-09  6.48380333E-09
    179  0.450000 -0.050000 -0.450000        1    4.76715972E-09  7.08582934E-09  3.03704230E-09  9.06412793E-09
    180  0.500000 -0.050000 -0.450000        1    3.47973696E-09  1.31393688E-09  6.85521759E-11  3.72017457E-09
    181 -0.450000  0.000000 -0.450000        1    3.97034907E-09  8.48955379E-09  4.22416406E-10  9.38161131E-09
    182 -0.400000  0.000000 -0.450000        1    2.83704863E-09  1.32861220E-10  3.33200951E-09  4.37821704E-09
    183 -0.350000  0.000000 -0.450000        1    2.17689583E-10  1.89263756E-09  3.80574320E-10  1.94275641E-09
    184 -0.300000  0.000000 -0.450000        1    4.17712519E-09  1.88609296E-09  8.72062958E-09  9.85165477E-09
    185 -0.250000  0.000000 -0.450000        1    4.79446274E-09  1.14433736E-08  1.57862739E-09  1.25071874E-08
    186 -0.200000  0.000000 -0.450000        1    2.82104228E-09  7.77914631E-10  1.46993536E-09  3.27477338E-09
    187 -0.150000  0.000000 -0.450000        1    6.51214894E-10  3.79685792E-09  6.87847096E-10  3.91322686E-09
    188 -0.100000  0.000000 -0.450000        1    3.29288464E-10  6.06114025E-09  7.43344779E-09  9.59697859E-09
    189 -0.050000  0.000000 -0.450000        1    2.09472230E-09  5.92452507E-09  2.53511898E-11  6.28398771E-09
    190  0.000000  0.000000 -0.450000        1    1.37059070E-08  6.46685266E-09  7.49720045E-09  1.69079888E-08
    191  0.050000  0.000000 -0.450000        1    6.69627991E-10  6.87820796E-10  3.38078610E-09  3.51442936E-09
    192  0.100000  0.000000 -0.450000        1    1.09312283E-08  1.37359897E-09  1.36918537E-08  1.75739974E-08
    193  0.150000  0.000000 -0.450000        1    5.22650661E-09  9.47931942E-10  7.03310399E-10  5.35813324E-09
    194  0.200000  0.000000 -0.450000        1    4.77438558E-09  5.31829717E-10  1.39539493E-08  1.47577201E-08
    195  0.250000  0.000000 -0.450000        1    9.73996218E-10  3.00801024E-09  7.66561448E-09  8.29207088E-09
    196  0.300000  0.000000 -0.450000        1    2.34270736E-09  1.02384857E-08  5.19664565E-09  1.17183613E-08
    197  0.350000  0.000000 -0.450000        1    3.59362144E-09  1.36141195E-10  1.18463716E-09  3.78629300E-09
    198  0.400000  0.000000 -0.450000        1    2.34347741E-10  2.78783243E-09  2.03029294E-09  3.45673515E-09
    199  0.450000  0.000000 -0.450000        1    3.84383139E-09  3.44565617E-10  4.50884896E-09  5.93493759E-09
    200  0.500000  0.000000 -0.450000        1    2.95294901E-09  1.61969657E-09  4.71475922E-09  5.79415907E-09
    201 -0.450000  0.050000 -0.450000        1    5.11618017E-09  8.94989296E-10  9.17577099E-10  5.27430119E-09
    202 -0.400000  0.050000 -0.450000        1    3.10508332E-09  2.85216190E-09  3.43014221E-09  5.43527787E-09
    203 -0.350000  0.050000 -0.450000        1    5.74118562E-09  2.22124676E-10  3.44714488E-09  6.70025070E-09
