   #Iter                 Tot                 Exc                 Ani                  DM                  PD               BiqDM                  BQ                 Dip              Zeeman                 LSF                Chir                Ring                  SA
    1750 -2.78440491E-01 -2.75570534E-01  0.00000000E+00 -2.86977368E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -1.83910562E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1800 -2.71118148E-01 -2.68859753E-01  0.00000000E+00 -2.25943737E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.04314452E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1850 -2.76586590E-01 -2.74402541E-01  0.00000000E+00 -2.18071432E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -3.33458481E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1900 -2.78298823E-01 -2.75979805E-01  0.00000000E+00 -2.31722821E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -1.79042415E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    1950 -2.83285893E-01 -2.80588571E-01  0.00000000E+00 -2.70031657E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.99454978E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2000 -2.70428395E-01 -2.67530336E-01  0.00000000E+00 -2.89871072E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  6.52031184E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2050 -2.74543428E-01 -2.72561668E-01  0.00000000E+00 -1.98406760E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.30722985E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2100 -2.79257123E-01 -2.76409314E-01  0.00000000E+00 -2.84891225E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.10307935E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2150 -2.67316855E-01 -2.64838970E-01  0.00000000E+00 -2.47610608E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -1.77903542E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    2200 -2.78906740E-01 -2.75809010E-01  0.00000000E+00 -3.10086796E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  3.13825061E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
